MAYO_blue	MAYO_greenyellow	MAYO_lightcyan	MAYO_midnightblue	MAYO_purple	MAYO_turquoise	ROSMAP_green	ROSMAP_purple	ROSMAP_turquoise	count	cross	neglogSum
Gene expression (Transcription)_Reactome	17.3443252823816	7.79095029549217	0	0	0	5.56644573638528	0	11.0029235426738	8.7022484707342	5	TRUE	50.4068933276671
RNA Polymerase II Transcription_Reactome	16.8528414499483	5.20069142145678	0	0	0	6.64353931251888	0	10.829399644905	9.51238985783594	5	TRUE	49.0388616866648
Generic Transcription Pathway_Reactome	14.6616926649875	5.99820770372835	0	0	0	6.32227206377306	0	7.26583749307665	8.53962495082176	5	TRUE	42.7876348763873
Transcriptional Regulation by TP53_Reactome	7.83116652364398	0	0	0	0	11.6048525767657	0	7.62362563214076	9.31701203309265	4	TRUE	36.3766567656431
Regulation of TP53 Activity_Reactome	8.35669921583832	0	0	0	0	5.83875933278541	0	7.59618290862669	7.15438015387759	4	TRUE	28.946021611128
EGF-EGFR Signaling Pathway_Wikipathways	4.55541344270085	0	0	0	0	22.3077775512572	0	0	32.2429977655382	3	TRUE	59.1061887594962
Developmental Biology_Reactome	0	0	0	4.56934838501662	0	24.7706475269245	0	0	29.055464312599	3	TRUE	58.3954602245401
Oxytocin signaling pathway_KEGG	0	0	0	7.91308931820913	0	19.4898171196283	0	0	20.7536355785912	3	TRUE	48.1565420164287
VEGFA-VEGFR2 Signaling Pathway_Wikipathways	6.1330297209986	0	0	0	0	16.9093215946485	0	0	24.5020194082283	3	TRUE	47.5443707238754
MAPK Signaling Pathway_Wikipathways	5.41072411005383	0	0	0	0	22.1848332748858	0	0	19.0878787051114	3	TRUE	46.6834360900511
MAPK signaling pathway_KEGG	4.42409507674842	0	0	0	0	22.1860410578994	0	0	18.3949864682485	3	TRUE	45.0051226028963
Signaling by NTRKs_Reactome	4.66870547009872	0	0	0	0	13.5307151365135	0	0	18.7866283611962	3	TRUE	36.9860489678085
Rett syndrome causing genes_Wikipathways	0	7.33918284614564	0	0	0	14.7980400315901	0	0	14.7921744366782	3	TRUE	36.9293973144139
Regulation of Actin Cytoskeleton_Wikipathways	0	0	0	4.58611246125517	0	19.924545734889	0	0	12.4003987207417	3	TRUE	36.9110569168859
Signaling by WNT_Reactome	0	5.06524823759336	0	0	0	11.9302119396922	0	0	18.4566371324348	3	TRUE	35.4520973097204
Disease_Reactome	6.18328239977406	0	0	0	0	18.5946880432454	0	0	9.80152117263804	3	TRUE	34.5794916156575
Neurotrophin signaling pathway_KEGG	6.73143346588244	0	0	0	0	13.6693123784112	0	0	14.0773469311658	3	TRUE	34.4780927754595
