pathway	external_id	source	pvalue	fdr
1	RNA degradation	path:hsa03018	KEGG	0.000306476194079847	1
2	BARD1 signaling events	bard1pathway	PID	0.00108065396808487	1
3	Metabolism of RNA	R-HSA-8953854	Reactome	0.00251033069795065	1
4	RNA transport	path:hsa03013	KEGG	0.00286904907165163	1
5	Deadenylation-dependent mRNA decay	R-HSA-429914	Reactome	0.0039872709487051	1
6	mRNA 3,-end processing	R-HSA-72187	Reactome	0.00427109788671126	1
7	Cleavage of Growing Transcript in the Termination Region 	R-HSA-109688	Reactome	0.00566056056997833	1
8	RNA Polymerase II Transcription Termination	R-HSA-73856	Reactome	0.00566056056997833	1
9	Transport of Mature mRNA derived from an Intron-Containing Transcript	R-HSA-159236	Reactome	0.00668703456766106	1
10	Processing of Capped Intron-Containing Pre-mRNA	R-HSA-72203	Reactome	0.00739271321878375	1
11	Transport of Mature Transcript to Cytoplasm	R-HSA-72202	Reactome	0.0083730867828837	1
12	Recycling of eIF2:GDP	R-HSA-72731	Reactome	0.0134683274350372	1
13	brca1 dependent ub ligase activity	bard1pathway	BioCarta	0.0134683274350372	1
14	Hyaluronan uptake and degradation	R-HSA-2160916	Reactome	0.0168082545314941	1
15	Nucleotide Excision Repair 	SMP00478	SMPDB	0.0184741678402055	1
16	Hyaluronan metabolism	R-HSA-2142845	Reactome	0.0201373865344604	1
17	Spliceosome	path:hsa03040	KEGG	0.0213076178374142	1
18	Hereditary Coproporphyria (HCP)	SMP00342	SMPDB	0.0251109164132042	1
19	Porphyria Variegata (PV)	SMP00346	SMPDB	0.0251109164132042	1
20	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	SMP00345	SMPDB	0.0251109164132042	1
21	Acute Intermittent Porphyria	SMP00344	SMPDB	0.0251109164132042	1
22	Porphyrin Metabolism	SMP00024	SMPDB	0.0251109164132042	1
23	KSRP (KHSRP) binds and destabilizes mRNA	R-HSA-450604	Reactome	0.0267633981020023	1
24	mRNA decay by 3, to 5, exoribonuclease	R-HSA-429958	Reactome	0.0267633981020023	1
25	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	R-HSA-450385	Reactome	0.02841320587221	1
26	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	R-HSA-450513	Reactome	0.02841320587221	1
27	Glycogen synthetase deficiency	SMP00552	SMPDB	0.0300603438448394	1
28	Glycogenosis, Type III. Cori disease, Debrancher glycogenosis	SMP00553	SMPDB	0.0300603438448394	1
29	Mucopolysaccharidosis VI. Sly syndrome	SMP00556	SMPDB	0.0300603438448394	1
30	Sucrase-isomaltase deficiency	SMP00557	SMPDB	0.0300603438448394	1
31	Glycogenosis, Type IV. Amylopectinosis, Anderson disease	SMP00554	SMPDB	0.0300603438448394	1
32	Glycogenosis, Type VI. Hers disease	SMP00555	SMPDB	0.0300603438448394	1
33	Starch and Sucrose Metabolism	SMP00058	SMPDB	0.0300603438448394	1
34	Synthesis of glycosylphosphatidylinositol (GPI)	R-HSA-162710	Reactome	0.0300603438448394	1
35	Glycosaminoglycan degradation	path:hsa00531	KEGG	0.0317048161348682	1
36	HS-GAG degradation	R-HSA-2024096	Reactome	0.0349857800969143	1
37	RHO GTPases activate PAKs	R-HSA-5627123	Reactome	0.0349857800969143	1
38	role of brca1 brca2 and atr in cancer susceptibility	atrbrcapathway	BioCarta	0.0366222799687917	1
39	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	path:hsa00563	KEGG	0.0415159002209875	1
40	Deadenylation of mRNA	R-HSA-429947	Reactome	0.0415159002209875	1
41	Syndecan-3-mediated signaling events	syndecan_3_pathway	PID	0.0431418274470755	1
42	Noncanonical Wnt signaling pathway	wnt_noncanonical_pathway	PID	0.0528422401729733	1
43	Pentose and glucuronate interconversions	path:hsa00040	KEGG	0.0560547983906349	1
44	N-cadherin signaling events	ncadherinpathway	PID	0.0592569539751854	1
45	E-cadherin signaling in the nascent adherens junction	ecadherin_nascentaj_pathway	PID	0.0592569539751854	1
46	ATR signaling pathway	atr_pathway	PID	0.0608541408105415	1
47	Regulation of mRNA stability by proteins that bind AU-rich elements	R-HSA-450531	Reactome	0.0608541408105415	1
48	Fanconi Anemia Pathway	R-HSA-6783310	Reactome	0.0656301854942335	1
49	Dual Incision in GG-NER	R-HSA-5696400	Reactome	0.0672170417486054	1
50	Porphyrin and chlorophyll metabolism	path:hsa00860	KEGG	0.0688013253185524	1
51	Formation of Incision Complex in GG-NER	R-HSA-5696395	Reactome	0.070383040176721	1
52	Integrin-linked kinase signaling	ilk_pathway	PID	0.0735387796191623	1
53	Fanconi anemia pathway	fanconi_pathway	PID	0.0751128121196166	1
54	Chromatin modifying enzymes	R-HSA-3247509	Reactome	0.0766516739141679	1
55	Chromatin organization	R-HSA-4839726	Reactome	0.0766516739141679	1
56	Nucleotide excision repair	path:hsa03420	KEGG	0.0766842917406675	1
57	agrin in postsynaptic differentiation	agrpathway	BioCarta	0.0782532224258997	1
58	Translation Factors	WP107	Wikipathways	0.0813834527343169	1
59	Fanconi anemia pathway	path:hsa03460	KEGG	0.0876134989975945	1
60	Heparan sulfate/heparin (HS-GAG) metabolism	R-HSA-1638091	Reactome	0.0876134989975945	1
61	Pathogenic Escherichia coli infection	path:hsa05130	KEGG	0.0891646970673048	1
62	Pathogenic Escherichia coli infection	WP2272	Wikipathways	0.0907133775421887	1
63	Hepatitis C and Hepatocellular Carcinoma	WP3646	Wikipathways	0.0907133775421887	1
64	FGF signaling pathway	fgf_pathway	PID	0.0907133775421887	1
65	Lysine degradation	path:hsa00310	KEGG	0.0953443522871443	1
66	Lysine metabolism	Lysine metabolism	EHMN	0.0968830012434397	1
67	DNA Repair	R-HSA-73894	Reactome	0.0995691427734868	1
68	Shigellosis	path:hsa05131	KEGG	0.104538850310725	1
69	Histone Modifications	WP2369	Wikipathways	0.106062567944971	1
70	Loss of Nlp from mitotic centrosomes	R-HSA-380259	Reactome	0.1106188855699	1
71	Loss of proteins required for interphase microtubule organization from the centrosome	R-HSA-380284	Reactome	0.1106188855699	1
72	Dual incision in TC-NER	R-HSA-6782135	Reactome	0.1106188855699	1
73	AURKA Activation by TPX2	R-HSA-8854518	Reactome	0.115153030517256	1
74	PKMTs methylate histone lysines	R-HSA-3214841	Reactome	0.116659502683223	1
75	Bacterial invasion of epithelial cells	path:hsa05100	KEGG	0.118163526438425	1
76	Fibroblast growth factor-1	Pathway_Fibroblast__growth__factor-1	NetPath	0.118163526438425	1
77	Drug metabolism - other enzymes	path:hsa00983	KEGG	0.125647051511875	1
78	Recruitment of NuMA to mitotic centrosomes	R-HSA-380320	Reactome	0.125647051511875	1
79	Recruitment of mitotic centrosome proteins and complexes	R-HSA-380270	Reactome	0.12713646419997	1
80	Centrosome maturation	R-HSA-380287	Reactome	0.12713646419997	1
81	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	R-HSA-6781827	Reactome	0.128623454891281	1
82	Global Genome Nucleotide Excision Repair (GG-NER)	R-HSA-5696399	Reactome	0.133069932469464	1
83	Regulation of PLK1 Activity at G2/M Transition	R-HSA-2565942	Reactome	0.137494746790944	1
84	mRNA surveillance pathway	path:hsa03015	KEGG	0.143360974530817	1
85	RAB GEFs exchange GTP for GDP on RABs	R-HSA-8876198	Reactome	0.143360974530817	1
86	Post-translational modification: synthesis of GPI-anchored proteins	R-HSA-163125	Reactome	0.147735631479741	1
87	Anchoring of the basal body to the plasma membrane	R-HSA-5620912	Reactome	0.152088958587297	1
88	Nucleotide Excision Repair	R-HSA-5696398	Reactome	0.174950536346466	1
89	Glycosaminoglycan metabolism	R-HSA-1630316	Reactome	0.18337096448461	1
90	Lysosome	path:hsa04142	KEGG	0.188938941377764	1
91	Rab regulation of trafficking	R-HSA-9007101	Reactome	0.193091123032668	1
92	mRNA Processing	WP411	Wikipathways	0.194470668827919	1
93	PDGFR-beta signaling pathway	pdgfrbpathway	PID	0.194470668827919	1
94	Eukaryotic Translation Initiation	R-HSA-72613	Reactome	0.199966371663225	1
95	Cap-dependent Translation Initiation	R-HSA-72737	Reactome	0.199966371663225	1
96	G2/M Transition	R-HSA-69275	Reactome	0.208142868315679	1
97	Clathrin-mediated endocytosis	R-HSA-8856828	Reactome	0.209497838907345	1
98	Signaling pathways regulating pluripotency of stem cells	path:hsa04550	KEGG	0.210850596183639	1
99	Mitotic G2-G2/M phases	R-HSA-453274	Reactome	0.210850596183639	1
100	HATs acetylate histones	R-HSA-3214847	Reactome	0.214895622529935	1
101	Mesodermal Commitment Pathway	WP2857	Wikipathways	0.229558719069972	1
102	miR-targeted genes in leukocytes - TarBase	WP2003	Wikipathways	0.230878686999297	1
103	Tight junction	path:hsa04530	KEGG	0.251706848508143	1
104	Influenza A	path:hsa05164	KEGG	0.252990570383753	1
105	TGF_beta_Receptor	Pathway_TGF_beta_Receptor	NetPath	0.255551710428483	1
106	Membrane Trafficking	R-HSA-199991	Reactome	0.259290531015263	1
107	Transcriptional misregulation in cancer	path:hsa05202	KEGG	0.270743417588085	1
108	Mitotic Prometaphase	R-HSA-68877	Reactome	0.271995946654605	1
109	Cilium Assembly	R-HSA-5617833	Reactome	0.273246422074155	1
110	Vesicle-mediated transport	R-HSA-5653656	Reactome	0.283544490659471	1
111	Proteoglycans in cancer	path:hsa05205	KEGG	0.290539232344005	1
112	Neddylation	R-HSA-8951664	Reactome	0.329760344528843	1
113	Organelle biogenesis and maintenance	R-HSA-1852241	Reactome	0.336665388148299	1
114	Metabolism of carbohydrates	R-HSA-71387	Reactome	0.362510915593557	1
115	Antigen processing: Ubiquitination & Proteasome degradation	R-HSA-983168	Reactome	0.362510915593557	1
116	RHO GTPase Effectors	R-HSA-195258	Reactome	0.402082552401508	1
117	Translation	R-HSA-72766	Reactome	0.409300408259258	1
118	Class I MHC mediated antigen processing & presentation	R-HSA-983169	Reactome	0.425487347582903	1
119	miR-targeted genes in epithelium - TarBase	WP2002	Wikipathways	0.435388226210872	1
120	M Phase	R-HSA-68886	Reactome	0.441250349244248	1
121	miR-targeted genes in muscle cell - TarBase	WP2005	Wikipathways	0.497642729424191	1
122	Signaling by Rho GTPases	R-HSA-194315	Reactome	0.52334198233804	1
123	EGFR1	Pathway_EGFR1	NetPath	0.543794615787766	1
124	Cell Cycle, Mitotic	R-HSA-69278	Reactome	0.563407906722812	1
125	Neutrophil degranulation	R-HSA-6798695	Reactome	0.567232758164349	1
126	miR-targeted genes in lymphocytes - TarBase	WP2004	Wikipathways	0.570269588479061	1
127	Cell Cycle	R-HSA-1640170	Reactome	0.622913985258815	1
128	RNA Polymerase II Transcription	R-HSA-73857	Reactome	0.629125632164963	1
129	Metabolism of proteins	R-HSA-392499	Reactome	0.680278326521369	1
130	Gene expression (Transcription)	R-HSA-74160	Reactome	0.688125295235281	1
131	Post-translational protein modification	R-HSA-597592	Reactome	0.69417406880459	1
132	Adaptive Immune System	R-HSA-1280218	Reactome	0.719027765753671	1
133	Immune System	R-HSA-168256	Reactome	0.836192966176188	1
134	Innate Immune System	R-HSA-168249	Reactome	0.847855662018677	1
135	Metabolism	R-HSA-1430728	Reactome	0.972684478914626	1
