pathway	external_id	source	pvalue	fdr
1	Chondroitin sulfate/dermatan sulfate metabolism	R-HSA-1793185	Reactome	6.59382466268225e-05	0.198590898645997
2	Chondroitin sulfate biosynthesis	R-HSA-2022870	Reactome	8.65319819808265e-05	0.198590898645997
3	Glycosaminoglycan metabolism	R-HSA-1630316	Reactome	0.000169498724546144	0.2593330485556
4	GABA shunt	GLUDEG-I-PWY	HumanCyc	0.000520486606468127	0.596545590659573
5	SLC-mediated transmembrane transport	R-HSA-425407	Reactome	0.000671588943797623	0.596545590659573
6	Cyclin D associated events in G1	R-HSA-69231	Reactome	0.00093300746734628	0.596545590659573
7	G1 Phase	R-HSA-69236	Reactome	0.00093300746734628	0.596545590659573
8	Transport of inorganic cations/anions and amino acids/oligopeptides	R-HSA-425393	Reactome	0.00114456691351876	0.596545590659573
9	ERBB2 Activates PTK6 Signaling	R-HSA-8847993	Reactome	0.00142962995582904	0.596545590659573
10	GABA A receptor activation	R-HSA-977441	Reactome	0.00142962995582904	0.596545590659573
11	chondroitin sulfate biosynthesis (late stages)	PWY-6567	HumanCyc	0.00142962995582904	0.596545590659573
12	Heparan sulfate/heparin (HS-GAG) metabolism	R-HSA-1638091	Reactome	0.00169402891020849	0.647966058154748
13	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	path:hsa00532	KEGG	0.00341449592475232	1
14	chondroitin sulfate biosynthesis	PWY-6569	HumanCyc	0.00376332285940434	1
15	GABA receptor Signaling	WP4159	Wikipathways	0.00490457124484117	1
16	Ephrin B reverse signaling	ephrinbrevpathway	PID	0.00490457124484117	1
17	A tetrasaccharide linker sequence is required for GAG synthesis	R-HSA-1971475	Reactome	0.00574297647979307	1
18	Metabolism of carbohydrates	R-HSA-71387	Reactome	0.00580880192823617	1
19	Glutamate Glutamine metabolism	None	INOH	0.0061850356437791	1
20	Wnt signaling network	wnt_signaling_pathway	PID	0.00664214995758594	1
21	GABAergic synapse	path:hsa04727	KEGG	0.0067471789386314	1
22	CDO in myogenesis	R-HSA-375170	Reactome	0.00711418359929184	1
23	Myogenesis	R-HSA-525793	Reactome	0.00711418359929184	1
24	Fc gamma R-mediated phagocytosis	path:hsa04666	KEGG	0.00717895244922857	1
25	Morphine addiction	path:hsa05032	KEGG	0.00740085934295677	1
26	Proteoglycan biosynthesis	Proteoglycan biosynthesis	EHMN	0.0076010016123993	1
27	HS-GAG biosynthesis	R-HSA-2022928	Reactome	0.00810246990107171	1
28	Propanoate metabolism	path:hsa00640	KEGG	0.00861845522539399	1
29	Signaling by PTK6	WP4437	Wikipathways	0.00875437349963215	1
30	4-aminobutyrate degradation	PWY-6535	HumanCyc	0.00875437349963215	1
31	&beta;-alanine degradation	BETA-ALA-DEGRADATION-I-PWY	HumanCyc	0.00875437349963215	1
32	PDE3B signalling	R-HSA-165160	Reactome	0.00875437349963215	1
33	PKB-mediated events	R-HSA-109703	Reactome	0.00875437349963215	1
34	Degradation of GABA	R-HSA-916853	Reactome	0.00875437349963215	1
35	glycerol-3-phosphate shuttle	PWY-6118	HumanCyc	0.00875437349963215	1
36	Alanine, aspartate and glutamate metabolism	path:hsa00250	KEGG	0.0102521937530737	1
37	Signaling by Receptor Tyrosine Kinases	R-HSA-9006934	Reactome	0.0102654770536381	1
38	Mitotic G1-G1/S phases	R-HSA-453279	Reactome	0.0106588424270706	1
39	RHO GTPases Activate WASPs and WAVEs	R-HSA-5663213	Reactome	0.0114115333070789	1
40	Glycerol Phosphate Shuttle	SMP00124	SMPDB	0.0131032805740252	1
41	glutamate biosynthesis/degradation	GLUTAMATE-SYN2-PWY	HumanCyc	0.0131032805740252	1
42	Regulation of thyroid hormone activity	R-HSA-350864	Reactome	0.0131032805740252	1
43	PTK6 Down-Regulation	R-HSA-8849472	Reactome	0.0131032805740252	1
44	thyronamine and iodothyronamine metabolism	PWY-6688	HumanCyc	0.0131032805740252	1
45	thyroid hormone metabolism I (via deiodination)	PWY-6260	HumanCyc	0.0131032805740252	1
46	Nicotine addiction	path:hsa05033	KEGG	0.013253241054916	1
47	Presenilin action in Notch and Wnt signaling	ps1pathway	PID	0.0172939212860764	1
48	Proton/oligopeptide cotransporters	R-HSA-427975	Reactome	0.0174334409163611	1
49	PTK6 Activates STAT3	R-HSA-8849474	Reactome	0.0174334409163611	1
50	Signaling by ERBB2	R-HSA-1227986	Reactome	0.0202417109260585	1
51	D-Glutamine and D-glutamate metabolism	path:hsa00471	KEGG	0.0217449339007927	1
52	lactate fermentation (reoxidation of cytosolic NADH)	PWY-5481	HumanCyc	0.0217449339007927	1
53	ornithine de novo  biosynthesis	ARGININE-SYN4-PWY	HumanCyc	0.0217449339007927	1
54	Class IB PI3K non-lipid kinase events	pi3kcibpathway	PID	0.0217449339007927	1
55	Activation of NOXA and translocation to mitochondria	R-HSA-111448	Reactome	0.0217449339007927	1
56	PTK6 Regulates Proteins Involved in RNA Processing	R-HSA-8849468	Reactome	0.0217449339007927	1
57	Sodium-coupled sulphate, di- and tri-carboxylate transporters	R-HSA-433137	Reactome	0.0217449339007927	1
58	PTK6 Expression	R-HSA-8849473	Reactome	0.0217449339007927	1
59	glycerol degradation	PWY-4261	HumanCyc	0.0217449339007927	1
60	Amino acid and oligopeptide SLC transporters	R-HSA-425374	Reactome	0.0217889316526419	1
61	Signaling by PTK6	R-HSA-8848021	Reactome	0.0233837874215471	1
62	Signaling by Non-Receptor Tyrosine Kinases	R-HSA-9006927	Reactome	0.0233837874215471	1
63	Arginine Proline metabolism	None	INOH	0.0241987900123686	1
64	GABA receptor activation	R-HSA-977443	Reactome	0.0241987900123686	1
65	Transport of small molecules	R-HSA-382551	Reactome	0.025355102469338	1
66	PTK6 Regulates Cell Cycle	R-HSA-8849470	Reactome	0.0260378385714877	1
67	PTK6 promotes HIF1A stabilization	R-HSA-8857538	Reactome	0.0260378385714877	1
68	chondroitin and dermatan biosynthesis	PWY-6566	HumanCyc	0.0260378385714877	1
69	Metformin Pathway, Pharmacokinetics	PA165948259	PharmGKB	0.030312233643972	1
70	Sulfate/Sulfite Metabolism	SMP00041	SMPDB	0.030312233643972	1
71	Sulfite oxidase deficiency	SMP00532	SMPDB	0.030312233643972	1
72	thyroid hormone metabolism II (via conjugation and/or degradation)	PWY-6261	HumanCyc	0.030312233643972	1
73	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	R-HSA-83936	Reactome	0.030312233643972	1
74	Endochondral Ossification	WP474	Wikipathways	0.03112569429202	1
75	EPH-ephrin mediated repulsion of cells	R-HSA-3928665	Reactome	0.0345681975064722	1
76	g-secretase mediated erbb4 signaling pathway	erbb4pathway	BioCarta	0.0345681975064722	1
77	Downregulation of ERBB4 signaling	R-HSA-1253288	Reactome	0.0345681975064722	1
78	Release of Hh-Np from the secreting cell	R-HSA-5362798	Reactome	0.0345681975064722	1
79	Carnosinuria, carnosinemia	SMP00493	SMPDB	0.0388058082212519	1
80	Ureidopropionase deficiency	SMP00492	SMPDB	0.0388058082212519	1
81	GABA-Transaminase Deficiency	SMP00351	SMPDB	0.0388058082212519	1
82	Beta-Alanine Metabolism	SMP00007	SMPDB	0.0388058082212519	1
83	Tgif disruption of Shh signaling	WP3674	Wikipathways	0.0388058082212519	1
84	Activation of PUMA and translocation to mitochondria	R-HSA-139915	Reactome	0.0388058082212519	1
85	cyclin e destruction pathway	fbw7pathway	BioCarta	0.0388058082212519	1
86	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	R-HSA-8849469	Reactome	0.0388058082212519	1
87	Adherens junction	path:hsa04520	KEGG	0.0397329152024251	1
88	EPH-Ephrin signaling	R-HSA-2682334	Reactome	0.041755373887199	1
89	Circadian Clock	WP1797	Wikipathways	0.0430251435259409	1
90	EV release from cardiac cells and their functional effects	WP3297	Wikipathways	0.0430251435259409	1
91	e2f1 destruction pathway	skp2e2fpathway	BioCarta	0.0430251435259409	1
92	Opsins	R-HSA-419771	Reactome	0.0430251435259409	1
93	Bicarbonate transporters	R-HSA-425381	Reactome	0.0430251435259409	1
94	PI3K events in ERBB4 signaling	R-HSA-1250342	Reactome	0.0430251435259409	1
95	Thyroxine biosynthesis	R-HSA-209968	Reactome	0.0430251435259409	1
96	G1/S Transition	R-HSA-69206	Reactome	0.0438159689233092	1
97	Dermatan sulfate biosynthesis	R-HSA-2022923	Reactome	0.0472262808348615	1
98	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	R-HSA-1362300	Reactome	0.0472262808348615	1
99	Sodium/Calcium exchangers	R-HSA-425561	Reactome	0.0472262808348615	1
100	Alanine and aspartate metabolism	WP106	Wikipathways	0.0514092972403464	1
101	cardiac protection against ros	flumazenilpathway	BioCarta	0.0514092972403464	1
102	PECAM1 interactions	R-HSA-210990	Reactome	0.0514092972403464	1
103	Pathways in clear cell renal cell carcinoma	WP4018	Wikipathways	0.0546634712155407	1
104	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	WP4336	Wikipathways	0.0546634712155407	1
105	Familial lipoprotein lipase deficiency	SMP00530	SMPDB	0.0555742695140563	1
106	Glycerolipid Metabolism	SMP00039	SMPDB	0.0555742695140563	1
107	Glycerol Kinase Deficiency	SMP00187	SMPDB	0.0555742695140563	1
108	D-glyceric acidura	SMP00529	SMPDB	0.0555742695140563	1
109	Valproic acid pathway	WP3871	Wikipathways	0.0555742695140563	1
110	Inhibition of replication initiation of damaged DNA by RB1/E2F1	R-HSA-113501	Reactome	0.0555742695140563	1
111	O2/CO2 exchange in erythrocytes	R-HSA-1480926	Reactome	0.0555742695140563	1
112	regulation of p27 phosphorylation during cell cycle progression	p27pathway	BioCarta	0.0555742695140563	1
113	Platelet Adhesion to exposed collagen	R-HSA-75892	Reactome	0.0555742695140563	1
114	Erythrocytes take up carbon dioxide and release oxygen	R-HSA-1237044	Reactome	0.0555742695140563	1
115	valine degradation	VALDEG-PWY	HumanCyc	0.0555742695140563	1
116	Malonyl-coa decarboxylase deficiency	SMP00502	SMPDB	0.0597212741082863	1
117	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	SMP00201	SMPDB	0.0597212741082863	1
118	Malonic Aciduria	SMP00198	SMPDB	0.0597212741082863	1
119	Hypoacetylaspartia	SMP00192	SMPDB	0.0597212741082863	1
120	Propanoate Metabolism	SMP00016	SMPDB	0.0597212741082863	1
121	Aspartate Metabolism	SMP00067	SMPDB	0.0597212741082863	1
122	Canavan Disease	SMP00175	SMPDB	0.0597212741082863	1
123	Bile salt and organic anion SLC transporters	R-HSA-425471	Reactome	0.0597212741082863	1
124	IL5-mediated signaling events	il5_pathway	PID	0.0597212741082863	1
125	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	R-HSA-8849471	Reactome	0.0597212741082863	1
126	SHC1 events in ERBB4 signaling	R-HSA-1250347	Reactome	0.0597212741082863	1
127	VEGFA-VEGFR2 Pathway	R-HSA-4420097	Reactome	0.0615802219859977	1
128	ErbB receptor signaling network	erbb_network_pathway	PID	0.0638503871572714	1
129	EPHA-mediated growth cone collapse	R-HSA-3928663	Reactome	0.0638503871572714	1
130	gamma-aminobutyric acid receptor life cycle pathway	gabapathway	BioCarta	0.0638503871572714	1
131	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	R-HSA-3772470	Reactome	0.0638503871572714	1
132	ERBB2 Regulates Cell Motility	R-HSA-6785631	Reactome	0.0638503871572714	1
133	LncRNA involvement in canonical Wnt signaling and colorectal cancer	WP4258	Wikipathways	0.0675604746087539	1
134	Transcription of E2F targets under negative control by DREAM complex	R-HSA-1362277	Reactome	0.0679616844784856	1
135	Regulation of KIT signaling	R-HSA-1433559	Reactome	0.0679616844784856	1
136	GRB2 events in ERBB2 signaling	R-HSA-1963640	Reactome	0.0679616844784856	1
137	PI3K events in ERBB2 signaling	R-HSA-1963642	Reactome	0.0679616844784856	1
138	mRNA decay by 3, to 5, exoribonuclease	R-HSA-429958	Reactome	0.0679616844784856	1
139	Signaling by VEGF	R-HSA-194138	Reactome	0.0712380943495755	1
140	Nitrogen metabolism	path:hsa00910	KEGG	0.0720552415739336	1
141	Valproic Acid Pathway, Pharmacodynamics	PA165959313	PharmGKB	0.0720552415739336	1
142	Pathway_PA165964473	PA165964473	PharmGKB	0.0720552415739336	1
143	Mitochondrial biogenesis	WP3331	Wikipathways	0.0720552415739336	1
144	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	R-HSA-2559584	Reactome	0.0720552415739336	1
145	Activation of E2F1 target genes at G1/S	R-HSA-539107	Reactome	0.0720552415739336	1
146	G1/S-Specific Transcription	R-HSA-69205	Reactome	0.0720552415739336	1
147	dermatan sulfate biosynthesis	PWY-6571	HumanCyc	0.0720552415739336	1
148	Transmission across Chemical Synapses	R-HSA-112315	Reactome	0.0743298422701356	1
149	Glucagon signaling pathway	path:hsa04922	KEGG	0.0749800022363447	1
150	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	WP2813	Wikipathways	0.0761311336314416	1
151	SCF(Skp2)-mediated degradation of p27/p21	R-HSA-187577	Reactome	0.0761311336314416	1
152	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	R-HSA-6804114	Reactome	0.0761311336314416	1
153	Amine-derived hormones	R-HSA-209776	Reactome	0.0761311336314416	1
154	cGMP effects	R-HSA-418457	Reactome	0.0761311336314416	1
155	Regulation of signaling by CBL	R-HSA-912631	Reactome	0.0761311336314416	1
156	Neuronal System	R-HSA-112316	Reactome	0.0769690328482059	1
157	Urea cycle and metabolism of arginine, proline, glutamate, aspartate and asparagine	Urea cycle and metabolism of arginine, proline, glutamate, aspartate and asparagine	EHMN	0.0775092116888441	1
158	Growth hormone receptor signaling	R-HSA-982772	Reactome	0.0801894355259403	1
159	Ephrin signaling	R-HSA-3928664	Reactome	0.0801894355259403	1
160	GABA synthesis, release, reuptake and degradation	R-HSA-888590	Reactome	0.0801894355259403	1
161	Mitochondrial Electron Transport Chain	SMP00355	SMPDB	0.0842302218207392	1
162	Hedgehog ligand biogenesis	R-HSA-5358346	Reactome	0.0842302218207392	1
163	Arginine biosynthesis	path:hsa00220	KEGG	0.088253566768806	1
164	HS-GAG degradation	R-HSA-2024096	Reactome	0.088253566768806	1
165	CTLA4 inhibitory signaling	R-HSA-389513	Reactome	0.088253566768806	1
166	phosphoinositides and their downstream targets	ptdinspathway	BioCarta	0.088253566768806	1
167	Wnt Signaling	WP428	Wikipathways	0.0892145348855283	1
168	TCR	Pathway_TCR	NetPath	0.0915308233863334	1
169	Wnt-beta-catenin Signaling Pathway in Leukemia	WP3658	Wikipathways	0.0922595443140289	1
170	SHC1 events in ERBB2 signaling	R-HSA-1250196	Reactome	0.0922595443140289	1
171	E2F mediated regulation of DNA replication	R-HSA-113510	Reactome	0.0922595443140289	1
172	heparan sulfate biosynthesis (late stages)	PWY-6558	HumanCyc	0.0922595443140289	1
173	Spinal Cord Injury	WP2431	Wikipathways	0.0932274809489919	1
174	Wnt Canonical	None	INOH	0.0959318755813566	1
175	Signaling by NOTCH	R-HSA-157118	Reactome	0.0959318755813566	1
176	Wnt Mammals	None	INOH	0.0959318755813566	1
177	Proximal tubule bicarbonate reclamation	path:hsa04964	KEGG	0.0962482280924823	1
178	2-Hydroxyglutric Aciduria (D And L Form)	SMP00136	SMPDB	0.0962482280924823	1
179	Homocarnosinosis	SMP00385	SMPDB	0.0962482280924823	1
180	Hyperinsulinism-Hyperammonemia Syndrome	SMP00339	SMPDB	0.0962482280924823	1
181	Succinic semialdehyde dehydrogenase deficiency	SMP00567	SMPDB	0.0962482280924823	1
182	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	SMP00243	SMPDB	0.0962482280924823	1
183	Glutamate Metabolism	SMP00072	SMPDB	0.0962482280924823	1
184	GPCRs, Class B Secretin-like	WP334	Wikipathways	0.0962482280924823	1
185	Glycolysis Pathway D (2)	WP4277	Wikipathways	0.0962482280924823	1
186	cyclins and cell cycle regulation	cellcyclepathway	BioCarta	0.0962482280924823	1
187	Post-chaperonin tubulin folding pathway	R-HSA-389977	Reactome	0.0962482280924823	1
188	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	path:hsa00534	KEGG	0.100219691433684	1
189	segmentation clock	hespathway	BioCarta	0.100219691433684	1
190	Triglyceride catabolism	R-HSA-163560	Reactome	0.100219691433684	1
191	Synthesis of very long-chain fatty acyl-CoAs	R-HSA-75876	Reactome	0.100219691433684	1
192	Differentiation of white and brown adipocyte	WP2895	Wikipathways	0.104174007361848	1
193	G0 and Early G1	R-HSA-1538133	Reactome	0.104174007361848	1
194	Alanine Aspartate Asparagine metabolism	None	INOH	0.104174007361848	1
195	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	R-HSA-2173796	Reactome	0.104174007361848	1
196	cell cycle: g1/s check point	g1pathway	BioCarta	0.104174007361848	1
197	Methionine Cysteine metabolism	None	INOH	0.104174007361848	1
198	Propanoate metabolism	None	INOH	0.104174007361848	1
199	WNT ligand biogenesis and trafficking	R-HSA-3238698	Reactome	0.104174007361848	1
200	Nitric oxide stimulates guanylate cyclase	R-HSA-392154	Reactome	0.104174007361848	1
201	mRNA Processing	WP411	Wikipathways	0.106969482512997	1
202	PDGFR-beta signaling pathway	pdgfrbpathway	PID	0.106969482512997	1
203	Glypican 1 network	glypican_1pathway	PID	0.10811124859713	1
204	Basigin interactions	R-HSA-210991	Reactome	0.10811124859713	1
205	Nuclear signaling by ERBB4	R-HSA-1251985	Reactome	0.10811124859713	1
206	Biosynthesis of unsaturated fatty acids	path:hsa01040	KEGG	0.112031487556875	1
207	Transcriptional activation of mitochondrial biogenesis	R-HSA-2151201	Reactome	0.112031487556875	1
208	Butanoate metabolism	path:hsa00650	KEGG	0.115934796356848	1
209	Phospholipid Biosynthesis	SMP00025	SMPDB	0.115934796356848	1
210	NOTCH-Ncore	None	Signalink	0.115934796356848	1
211	DNA Damage/Telomere Stress Induced Senescence	R-HSA-2559586	Reactome	0.115934796356848	1
