pathway	pvalue	fdr
Extracellular matrix organization_Reactome	6.2889176161461e-13	2.88661318581106e-09
Collagen chain trimerization_Reactome	1.8542892373326e-09	4.25559379967832e-06
Collagen biosynthesis and modifying enzymes_Reactome	6.73223585307323e-09	1.0300320855202e-05
Collagen formation_Reactome	1.09396370880721e-08	1.25532335585627e-05
Integrins in angiogenesis_PID	5.10869965410759e-08	4.68978628247077e-05
Integrin_INOH	2.14131504512295e-06	0.00163810600951906
Syndecan-1-mediated signaling events_PID	1.08182587239428e-05	0.00709368679184249
Beta1 integrin cell surface interactions_PID	1.26193996532133e-05	0.00724038055103113
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)_Reactome	1.76551375381748e-05	0.00900412014446915
Assembly of collagen fibrils and other multimeric structures_Reactome	2.07364740563533e-05	0.00951804159186617
miR-509-3p alteration of YAP1-ECM axis_Wikipathways	5.15015306551583e-05	0.0214901841551979
Validated transcriptional targets of AP1 family members Fra1 and Fra2_PID	7.11399507807521e-05	0.0272110311736377
Glycosaminoglycan metabolism_Reactome	8.51722066402844e-05	0.0300723406522235
Protein digestion and absorption - Homo sapiens (human)_KEGG	9.54490151983709e-05	0.0303453314802101
Endochondral Ossification_Wikipathways	9.9167749935327e-05	0.0303453314802101
miRNA targets in ECM and membrane receptors_Wikipathways	0.000165774275025712	0.0475564951480011
Keratan sulfate biosynthesis_Reactome	0.000314171642190598	0.0848263433914615
Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2_Reactome	0.000417458987475471	0.106452041806245
Molecules associated with elastic fibres_Reactome	0.000469625161887527	0.113451552266513
Transport of bile salts and organic acids, metal ions and amine compounds_Reactome	0.000548530514324221	0.125887753037409
Keratan sulfate/keratin metabolism_Reactome	0.000599588589271172	0.131052934512128
Elastic fibre formation_Reactome	0.000839598700555528	0.175170819797722
Mammary gland development pathway - Embryonic development (Stage 1 of 4)_Wikipathways	0.00117723683943937	0.23493552578377
Hypophosphatasia_SMPDB	0.00136988453431894	0.235594479816342
Vitamin B6 Metabolism_SMPDB	0.00136988453431894	0.235594479816342
N-glycan trimming and elongation in the cis-Golgi_Reactome	0.00136988453431894	0.235594479816342
Scavenging by Class A Receptors_Reactome	0.0013858498812726	0.235594479816342
N-Glycan biosynthesis_EHMN	0.00150976274617851	0.24749325017712
BMP Signaling Pathway in Eyelid Development_Wikipathways	0.00161628551348571	0.255818982996531
Complement Activation_Wikipathways	0.00214576361326039	0.32830183282884
Notch-mediated HES/HEY network_PID	0.00248402252235379	0.33973701949804
Focal adhesion - Homo sapiens (human)_KEGG	0.00259150035630582	0.33973701949804
N-Glycan biosynthesis - Homo sapiens (human)_KEGG	0.00268015626058678	0.33973701949804
Metformin Pathway, Pharmacokinetics_PharmGKB	0.00283209230954983	0.33973701949804
Hfe effect on hepcidin production_Wikipathways	0.00283209230954983	0.33973701949804
Activation of C3 and C5_Reactome	0.00283209230954983	0.33973701949804
Ubiquitin-dependent degradation of Cyclin D1_Reactome	0.00283209230954983	0.33973701949804
Ubiquitin-dependent degradation of Cyclin D_Reactome	0.00283209230954983	0.33973701949804
Protein alkylation leading to liver fibrosis_Wikipathways	0.00288665441403563	0.33973701949804
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Wikipathways	0.00325696198040929	0.373736387251966
TGF-beta signaling pathway - Homo sapiens (human)_KEGG	0.00339200867129787	0.379739507347737
sumoylation as a mechanism to modulate ctbp-dependent gene responses_BioCarta	0.00374673528054684	0.390852612220682
