pathway	external_id	source	pvalue	fdr
1	Extracellular matrix organization	R-HSA-1474244	Reactome	5.98154201255634e-13	2.74552778376336e-09
2	Collagen chain trimerization	R-HSA-8948216	Reactome	1.81517148151611e-09	4.16581855007947e-06
3	Collagen biosynthesis and modifying enzymes	R-HSA-1650814	Reactome	6.57779483512945e-09	1.00640260977481e-05
4	Collagen formation	R-HSA-1474290	Reactome	1.0668546028946e-08	1.22421565682156e-05
5	Integrins in angiogenesis	avb3_integrin_pathway	PID	5.00330277907967e-08	4.59303195119514e-05
6	Integrin	None	INOH	2.09512977979722e-06	0.00160277428154488
7	Syndecan-1-mediated signaling events	syndecan_1_pathway	PID	1.06689196098289e-05	0.00699576300130206
8	Beta1 integrin cell surface interactions	integrin1_pathway	PID	1.24213971645768e-05	0.00712677662317594
9	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	R-HSA-381426	Reactome	1.8463243262322e-05	0.00938778094312002
10	Assembly of collagen fibrils and other multimeric structures	R-HSA-2022090	Reactome	2.04526817932898e-05	0.00938778094312002
11	miR-509-3p alteration of YAP1-ECM axis	WP3967	Wikipathways	5.10123879887177e-05	0.0212860782607467
12	Validated transcriptional targets of AP1 family members Fra1 and Fra2	fra_pathway	PID	7.0321398711875e-05	0.0268979350072922
13	Glycosaminoglycan metabolism	R-HSA-1630316	Reactome	8.37377662988298e-05	0.0295658728701253
14	Protein digestion and absorption	path:hsa04974	KEGG	9.40062548057451e-05	0.0299408068330695
15	Endochondral Ossification	WP474	Wikipathways	9.78457739642796e-05	0.0299408068330695
16	miRNA targets in ECM and membrane receptors	WP2911	Wikipathways	0.000163893745959057	0.0470170183720043
17	Keratan sulfate biosynthesis	R-HSA-2022854	Reactome	0.000311258514417524	0.0840397988927315
18	Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2	R-HSA-964827	Reactome	0.000415413371753004	0.105930409797016
19	Molecules associated with elastic fibres	R-HSA-2129379	Reactome	0.00046530219260082	0.112407213896724
20	Transport of bile salts and organic acids, metal ions and amine compounds	R-HSA-425366	Reactome	0.000541514790197728	0.124277644350379
21	Keratan sulfate/keratin metabolism	R-HSA-1638074	Reactome	0.000594096124663738	0.129852438676503
22	Elastic fibre formation	R-HSA-1566948	Reactome	0.000831963917609307	0.173577926446669
23	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	WP2813	Wikipathways	0.00116893795540572	0.23327935718749
24	Hypophosphatasia	SMP00503	SMPDB	0.00136322465230355	0.233938663149759
25	Vitamin B6 Metabolism	SMP00017	SMPDB	0.00136322465230355	0.233938663149759
26	N-glycan trimming and elongation in the cis-Golgi	R-HSA-964739	Reactome	0.00136322465230355	0.233938663149759
27	Scavenging by Class A Receptors	R-HSA-3000480	Reactome	0.00137610978323387	0.233938663149759
28	N-Glycan biosynthesis	N-Glycan biosynthesis	EHMN	0.00149623559954476	0.245275764353945
29	BMP Signaling Pathway in Eyelid Development	WP3927	Wikipathways	0.00160496010118149	0.254026443600795
30	Complement Activation	WP545	Wikipathways	0.00213081888772169	0.326015289821419
31	Notch-mediated HES/HEY network	hes_heypathway	PID	0.00246209654936449	0.336753241321793
32	Focal adhesion	path:hsa04510	KEGG	0.0025528043684145	0.336753241321793
33	N-Glycan biosynthesis	path:hsa00510	KEGG	0.00265655829526249	0.336753241321793
34	Metformin Pathway, Pharmacokinetics	PA165948259	PharmGKB	0.00281843239508718	0.336753241321793
35	Hfe effect on hepcidin production	WP3924	Wikipathways	0.00281843239508718	0.336753241321793
36	Activation of C3 and C5	R-HSA-174577	Reactome	0.00281843239508718	0.336753241321793
37	Ubiquitin-dependent degradation of Cyclin D1	R-HSA-69229	Reactome	0.00281843239508718	0.336753241321793
38	Ubiquitin-dependent degradation of Cyclin D	R-HSA-75815	Reactome	0.00281843239508718	0.336753241321793
39	Protein alkylation leading to liver fibrosis	WP3980	Wikipathways	0.0028613020504466	0.336753241321793
40	Epithelial to mesenchymal transition in colorectal cancer	WP4239	Wikipathways	0.00294962779144368	0.338469789068162
41	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	WP3932	Wikipathways	0.0032007650353569	0.3583295490802
42	TGF-beta signaling pathway	path:hsa04350	KEGG	0.00335671526429036	0.366841025311732
43	sumoylation as a mechanism to modulate ctbp-dependent gene responses	ctbp1pathway	BioCarta	0.00372873550059542	0.380331021060733
44	Ligand-receptor interactions	R-HSA-5632681	Reactome	0.00372873550059542	0.380331021060733
45	InlA-mediated entry of Listeria monocytogenes into host cells	R-HSA-8876493	Reactome	0.00372873550059542	0.380331021060733
46	Platelet degranulation 	R-HSA-114608	Reactome	0.00432576173978905	0.431635790991994
47	Human Complement System	WP2806	Wikipathways	0.00471149781076254	0.460122871306384
48	Response to elevated platelet cytosolic Ca2+	R-HSA-76005	Reactome	0.00520268596692249	0.487949439017733
49	Complement and Coagulation Cascades	WP558	Wikipathways	0.00520904629888211	0.487949439017733
50	Dengue-2 Interactions with Complement and Coagulation Cascades	WP3896	Wikipathways	0.00553055376354845	0.507704835493748
51	Interleukin-4 and Interleukin-13 signaling	WP4066	Wikipathways	0.00589086785446757	0.510967039225369
52	Crosslinking of collagen fibrils	R-HSA-2243919	Reactome	0.00590005513702496	0.510967039225369
53	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	R-HSA-8854050	Reactome	0.00590005513702496	0.510967039225369
54	Fluid shear stress and atherosclerosis	path:hsa05418	KEGG	0.00620357944093417	0.516666659062497
55	White fat cell differentiation	WP4149	Wikipathways	0.0062945712228226	0.516666659062497
56	Vitamin D Receptor Pathway	WP2877	Wikipathways	0.0063181970258538	0.516666659062497
57	AGE-RAGE signaling pathway in diabetic complications	path:hsa04933	KEGG	0.00641612190992644	0.516666659062497
58	Neural Crest Differentiation	WP2064	Wikipathways	0.00697343198134662	0.551862979213465
59	Apoptotic cleavage of cell adhesion  proteins	R-HSA-351906	Reactome	0.00715535275627951	0.556662189005474
60	Tryptophan degradation	None	INOH	0.00774025845321765	0.563531285992944
61	Photodynamic therapy-induced NF-kB survival signaling	WP3617	Wikipathways	0.00809418890647829	0.563531285992944
62	Smooth Muscle Contraction	R-HSA-445355	Reactome	0.00809418890647829	0.563531285992944
63	Collagen degradation	R-HSA-1442490	Reactome	0.00809418890647829	0.563531285992944
64	Integrin cell surface interactions	R-HSA-216083	Reactome	0.00815732228317385	0.563531285992944
65	Degradation of the extracellular matrix	R-HSA-1474228	Reactome	0.00818808334162495	0.563531285992944
66	JAK-STAT	WP2593	Wikipathways	0.00851327775479484	0.563531285992944
67	lectin induced complement pathway	lectinpathway	BioCarta	0.0085200139384347	0.563531285992944
68	Degradation of DVL	R-HSA-4641258	Reactome	0.0085200139384347	0.563531285992944
69	terminal O-glycans residues modification	PWY-7434	HumanCyc	0.0085200139384347	0.563531285992944
70	SLC-mediated transmembrane transport	R-HSA-425407	Reactome	0.00859415904564402	0.563531285992944
71	IGF signaling	None	INOH	0.00875439117819365	0.56595289447759
72	Focal Adhesion	WP306	Wikipathways	0.00928912550874893	0.583339806188323
73	Post-translational protein phosphorylation	R-HSA-8957275	Reactome	0.00954239219961927	0.583339806188323
74	Hippo signaling pathway	path:hsa04390	KEGG	0.0097467590482253	0.583339806188323
75	Taxane Pathway, Pharmacokinetics	PA154426155	PharmGKB	0.00999130450582602	0.583339806188323
76	Transcriptional cascade regulating adipogenesis	WP4211	Wikipathways	0.00999130450582602	0.583339806188323
77	Proteoglycans in cancer	path:hsa05205	KEGG	0.010040138941086	0.583339806188323
78	Striated Muscle Contraction Pathway	WP383	Wikipathways	0.0101671425915176	0.583339806188323
79	Apoptotic cleavage of cellular proteins	R-HSA-111465	Reactome	0.0101671425915176	0.583339806188323
80	Hedgehog ,on, state	R-HSA-5632684	Reactome	0.0101671425915176	0.583339806188323
81	Melanoma	path:hsa05218	KEGG	0.0104637259400348	0.592944469935305
82	Warfarin Pathway, Pharmacodynamics	PA145011114	PharmGKB	0.0115665389957075	0.624593105768204
83	Nicotinate and Nicotinamide Metabolism	SMP00048	SMPDB	0.0115665389957075	0.624593105768204
84	Bile salt and organic anion SLC transporters	R-HSA-425471	Reactome	0.0115665389957075	0.624593105768204
85	classical complement pathway	classicpathway	BioCarta	0.0115665389957075	0.624593105768204
86	Bladder Cancer	WP2828	Wikipathways	0.0117047623213279	0.624707663429015
87	Vatalanib Action Pathway	SMP00421	SMPDB	0.0118516238263814	0.625275326012535
88	Bladder cancer	path:hsa05219	KEGG	0.0125209647230286	0.645744135715746
