pathway	external_id	source	pvalue	fdr
1	Attenuation phase	R-HSA-3371568	Reactome	1.67083824311554e-11	7.66914753590033e-08
2	HSF1-dependent transactivation	R-HSA-3371571	Reactome	2.2256639814695e-09	5.10789883747251e-06
3	HSF1 activation	R-HSA-3371511	Reactome	1.76719517349751e-08	2.4861646068672e-05
4	HSP90 chaperone cycle for steroid hormone receptors (SHR)	R-HSA-3371497	Reactome	2.23616155021071e-08	2.4861646068672e-05
5	Protein processing in endoplasmic reticulum	path:hsa04141	KEGG	2.7082403124915e-08	2.4861646068672e-05
6	Cellular response to heat stress	R-HSA-3371556	Reactome	7.59429322967803e-08	5.80963432070369e-05
7	Regulation of HSF1-mediated heat shock response	R-HSA-3371453	Reactome	1.13412240852297e-07	7.43660265017206e-05
8	DNA Repair	R-HSA-73894	Reactome	1.3364543607852e-07	7.66790689500507e-05
9	HDR through Homologous Recombination (HRR)	R-HSA-5685942	Reactome	5.10516641947261e-07	0.000260363487393103
10	DNA Double-Strand Break Repair	R-HSA-5693532	Reactome	1.1864772428152e-06	0.000544593054452178
11	Resolution of Abasic Sites (AP sites)	R-HSA-73933	Reactome	1.89134856562592e-06	0.000723440826351914
12	Base Excision Repair	R-HSA-73884	Reactome	1.89134856562592e-06	0.000723440826351914
13	Gene expression (Transcription)	R-HSA-74160	Reactome	6.00949302511518e-06	0.00200535943103005
14	Homology Directed Repair	R-HSA-5693538	Reactome	6.11656471338141e-06	0.00200535943103005
15	RNA Polymerase II Transcription	R-HSA-73857	Reactome	8.44868681268071e-06	0.00250781625853666
16	Cellular response to heat stress	WP3395	Wikipathways	8.74184316701231e-06	0.00250781625853666
17	HDR through Single Strand Annealing (SSA)	R-HSA-5685938	Reactome	1.21636728306577e-05	0.00328419166427759
18	Photodynamic therapy-induced unfolded protein response	WP3613	Wikipathways	1.73386945451671e-05	0.00442136710901761
19	Base excision repair	path:hsa03410	KEGG	2.09633969403221e-05	0.00506431536610939
20	HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)	R-HSA-5693567	Reactome	2.40897810176633e-05	0.00552860474355374
21	Spliceosome	path:hsa03040	KEGG	2.74968544686784e-05	0.0057475400943274
22	BBSome-mediated cargo-targeting to cilium	R-HSA-5620922	Reactome	2.75481224564712e-05	0.0057475400943274
23	Cellular responses to stress	R-HSA-2262752	Reactome	3.83456040356849e-05	0.00709630208676937
24	Generic Transcription Pathway	R-HSA-212436	Reactome	3.85825316067545e-05	0.00709630208676937
25	Metabolism of RNA	R-HSA-8953854	Reactome	3.86508828255412e-05	0.00709630208676937
26	Homologous DNA Pairing and Strand Exchange	R-HSA-5693579	Reactome	5.06911800611178e-05	0.00892956614078504
27	DNA replication	path:hsa03030	KEGG	5.25268596516767e-05	0.00892956614078504
28	S Phase	R-HSA-69242	Reactome	9.57427269840198e-05	0.0154475138451839
29	PCNA-Dependent Long Patch Base Excision Repair	R-HSA-5651801	Reactome	9.7598671353014e-05	0.0154475138451839
30	Presynaptic phase of homologous DNA pairing and strand exchange	R-HSA-5693616	Reactome	0.00011832082041627	0.0181030855236893
31	Fanconi anemia pathway	fanconi_pathway	PID	0.000133899963088238	0.0198258332443552
32	Cellular responses to external stimuli	R-HSA-8953897	Reactome	0.000147713045134582	0.0211875899114916
33	ATF6 (ATF6-alpha) activates chaperone genes	WP2655	Wikipathways	0.000163074732443944	0.0224882348307979
