pathway	external_id	source	pvalue	fdr
1	Cytoplasmic Ribosomal Proteins	WP477	Wikipathways	3.94514937152931e-52	1.81082356153195e-48
2	Eukaryotic Translation Elongation	R-HSA-156842	Reactome	2.84898411318663e-49	6.53841853976331e-46
3	Peptide chain elongation	R-HSA-156902	Reactome	2.05859294345817e-48	3.149647203491e-45
4	Selenocysteine synthesis	R-HSA-2408557	Reactome	2.83706228617964e-47	3.25552897339114e-44
5	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	R-HSA-975956	Reactome	1.51587834108618e-46	1.39157631711712e-43
6	Formation of a pool of free 40S subunits	R-HSA-72689	Reactome	1.97286994803075e-46	1.50924551024353e-43
7	Eukaryotic Translation Termination	R-HSA-72764	Reactome	6.45372122769408e-46	4.23179720501655e-43
8	Nonsense-Mediated Decay (NMD)	R-HSA-927802	Reactome	3.90168462525037e-45	1.98985915887769e-42
9	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	R-HSA-975957	Reactome	3.90168462525037e-45	1.98985915887769e-42
10	GTP hydrolysis and joining of the 60S ribosomal subunit	R-HSA-72706	Reactome	2.94864628895891e-44	1.35342864663214e-41
11	Eukaryotic Translation Initiation	R-HSA-72613	Reactome	1.77384505410983e-43	6.78495733197009e-41
12	Cap-dependent Translation Initiation	R-HSA-72737	Reactome	1.77384505410983e-43	6.78495733197009e-41
13	L13a-mediated translational silencing of Ceruloplasmin expression	R-HSA-156827	Reactome	2.54011750352806e-43	8.96856872399522e-41
14	Selenoamino acid metabolism	R-HSA-2408522	Reactome	1.20735268731304e-41	3.95839202483347e-39
15	SRP-dependent cotranslational protein targeting to membrane	R-HSA-1799339	Reactome	1.02413030606731e-39	3.13383873656597e-37
16	Ribosome	path:hsa03010	KEGG	4.89578159136549e-37	1.40447734402297e-34
17	Translation	R-HSA-72766	Reactome	1.97690311373535e-29	5.33763840708544e-27
18	Metabolism of amino acids and derivatives	R-HSA-71291	Reactome	1.60092142020699e-25	4.08234962152782e-23
19	Metabolism of RNA	R-HSA-8953854	Reactome	8.41242007454756e-23	2.03226358643017e-20
20	Formation of the ternary complex, and subsequently, the 43S complex	R-HSA-72695	Reactome	5.23704227677731e-16	1.20190120252039e-13
21	Translation initiation complex formation	R-HSA-72649	Reactome	1.40822758447937e-14	2.93807482398196e-12
22	Ribosomal scanning and start codon recognition	R-HSA-72702	Reactome	1.40822758447937e-14	2.93807482398196e-12
23	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	R-HSA-72662	Reactome	2.160917750866e-14	4.31244020716302e-12
24	Metabolism of proteins	R-HSA-392499	Reactome	4.23026210195332e-08	8.09037626998573e-06
25	Aminoacyl-tRNA biosynthesis	path:hsa00970	KEGG	1.33786762269042e-07	2.45632495525961e-05
26	Metabolism	R-HSA-1430728	Reactome	7.37955501448622e-07	0.000130277528909584
27	Fatty Acid Beta Oxidation	WP143	Wikipathways	4.13036072847356e-05	0.00702161323840505
28	Long chain acyl-CoA dehydrogenase deficiency (LCAD)	SMP00539	SMPDB	0.000144707546091446	0.0179515577448577
29	Trifunctional protein deficiency	SMP00545	SMPDB	0.000144707546091446	0.0179515577448577
30	Carnitine palmitoyl transferase deficiency (II)	SMP00541	SMPDB	0.000144707546091446	0.0179515577448577
31	Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)	SMP00540	SMPDB	0.000144707546091446	0.0179515577448577
32	Medium chain acyl-coa dehydrogenase deficiency (MCAD)	SMP00542	SMPDB	0.000144707546091446	0.0179515577448577
33	Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)	SMP00235	SMPDB	0.000144707546091446	0.0179515577448577
34	Fatty acid Metabolism	SMP00051	SMPDB	0.000144707546091446	0.0179515577448577
35	Glutaric Aciduria Type I	SMP00185	SMPDB	0.000144707546091446	0.0179515577448577
36	Ethylmalonic Encephalopathy	SMP00181	SMPDB	0.000144707546091446	0.0179515577448577
37	Carnitine palmitoyl transferase deficiency (I)	SMP00538	SMPDB	0.000144707546091446	0.0179515577448577
38	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	R-HSA-2173791	Reactome	0.000344609805427521	0.0416252370240085
39	Fatty acid degradation	path:hsa00071	KEGG	0.000430902504108098	0.0507139100988761
40	mRNA Processing	WP411	Wikipathways	0.000564811918446783	0.0648121676417684
41	Signaling by FGFR1 in disease	R-HSA-5655302	Reactome	0.000601032040671625	0.0672862699190916
42	FGFR1 mutant receptor activation	R-HSA-1839124	Reactome	0.000652086338777961	0.0712637213093057
43	Signaling by cytosolic FGFR1 fusion mutants	R-HSA-1839117	Reactome	0.000713631957844184	0.0761760624768559
44	EGFR downregulation	R-HSA-182971	Reactome	0.000835851632196475	0.0870249341849797
45	Lysine Degradation	SMP00037	SMPDB	0.000968241939742788	0.0870249341849797
46	Hyperlysinemia I, Familial	SMP00527	SMPDB	0.000968241939742788	0.0870249341849797
47	2-aminoadipic 2-oxoadipic aciduria	SMP00719	SMPDB	0.000968241939742788	0.0870249341849797
48	Pyridoxine dependency with seizures	SMP00571	SMPDB	0.000968241939742788	0.0870249341849797
49	Saccharopinuria/Hyperlysinemia II	SMP00239	SMPDB	0.000968241939742788	0.0870249341849797
50	Glutaric Aciduria Type I	SMP00186	SMPDB	0.000968241939742788	0.0870249341849797
51	Hyperlysinemia II or Saccharopinuria	SMP00528	SMPDB	0.000968241939742788	0.0870249341849797
52	fatty acid &beta;-oxidation (peroxisome)	PWY66-391	HumanCyc	0.000985903393816763	0.0870249341849797
53	Downregulation of ERBB4 signaling	R-HSA-1253288	Reactome	0.00101959150351972	0.0883004717199154
54	glutaryl-CoA degradation	PWY-5177	HumanCyc	0.00105404840254092	0.0895941142159785
55	ABC-family proteins mediated transport	R-HSA-382556	Reactome	0.00115190209087301	0.0952913946213667
56	Cleavage of Growing Transcript in the Termination Region 	R-HSA-109688	Reactome	0.00118335718810847	0.0952913946213667
57	RNA Polymerase II Transcription Termination	R-HSA-73856	Reactome	0.00118335718810847	0.0952913946213667
58	Hedgehog ligand biogenesis	R-HSA-5358346	Reactome	0.00133143555632956	0.105367055233667
59	Signaling by EGFR	R-HSA-177929	Reactome	0.00155064875847004	0.1206352169725
60	Signaling by Hedgehog	R-HSA-5358351	Reactome	0.00213123707828925	0.14688733914372
61	Pink/Parkin Mediated Mitophagy	R-HSA-5205685	Reactome	0.00229098435088102	0.14688733914372
62	Autodegradation of Cdh1 by Cdh1:APC/C	R-HSA-174084	Reactome	0.00229098435088102	0.14688733914372
63	3-Methylglutaconic Aciduria Type I	SMP00139	SMPDB	0.00266012521689538	0.14688733914372
64	Valine, Leucine and Isoleucine Degradation	SMP00032	SMPDB	0.00266012521689538	0.14688733914372
65	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMP00137	SMPDB	0.00266012521689538	0.14688733914372
66	Isovaleric Aciduria	SMP00238	SMPDB	0.00266012521689538	0.14688733914372
67	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMP00237	SMPDB	0.00266012521689538	0.14688733914372
68	Propionic Acidemia	SMP00236	SMPDB	0.00266012521689538	0.14688733914372
69	Maple Syrup Urine Disease	SMP00199	SMPDB	0.00266012521689538	0.14688733914372
70	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMP00138	SMPDB	0.00266012521689538	0.14688733914372
71	Isobutyryl-coa dehydrogenase deficiency	SMP00523	SMPDB	0.00266012521689538	0.14688733914372
72	3-hydroxyisobutyric aciduria	SMP00522	SMPDB	0.00266012521689538	0.14688733914372
73	3-hydroxyisobutyric acid dehydrogenase deficiency	SMP00521	SMPDB	0.00266012521689538	0.14688733914372
74	Isovaleric acidemia	SMP00524	SMPDB	0.00266012521689538	0.14688733914372
75	Methylmalonate Semialdehyde Dehydrogenase Deficiency	SMP00384	SMPDB	0.00266012521689538	0.14688733914372
76	Methylmalonic Aciduria	SMP00200	SMPDB	0.00266012521689538	0.14688733914372
77	3-Methylglutaconic Aciduria Type IV	SMP00141	SMPDB	0.00266012521689538	0.14688733914372
78	3-Methylglutaconic Aciduria Type III	SMP00140	SMPDB	0.00266012521689538	0.14688733914372
79	Beta-Ketothiolase Deficiency	SMP00173	SMPDB	0.00266012521689538	0.14688733914372
80	RNA Polymerase I Promoter Escape	R-HSA-73772	Reactome	0.00266012521689538	0.14688733914372
81	Hedgehog ,on, state	R-HSA-5632684	Reactome	0.00269440250310053	0.14688733914372
82	Beta Oxidation of Very Long Chain Fatty Acids	SMP00052	SMPDB	0.00275213750901087	0.14688733914372
83	Adrenoleukodystrophy, X-linked	SMP00516	SMPDB	0.00275213750901087	0.14688733914372
84	Carnitine-acylcarnitine translocase deficiency	SMP00517	SMPDB	0.00275213750901087	0.14688733914372
85	Vif-mediated degradation of APOBEC3G	R-HSA-180585	Reactome	0.00275213750901087	0.14688733914372
86	Degradation of AXIN	R-HSA-4641257	Reactome	0.00275213750901087	0.14688733914372
