pathway	external_id	source	pvalue	fdr
1	Transport of small molecules	R-HSA-382551	Reactome	8.63536632184089e-08	0.000396363314172497
2	Glutamate Glutamine metabolism	None	INOH	3.46106825397245e-07	0.000794315164286678
3	SLC-mediated transmembrane transport	R-HSA-425407	Reactome	1.78859366734351e-06	0.00273654831103557
4	Glucose-Alanine Cycle	SMP00127	SMPDB	6.55306601422124e-06	0.00751964325131887
5	Amino Acid metabolism	WP3925	Wikipathways	3.47068727716748e-05	0.0318609092043975
6	Ammonia Recycling	SMP00009	SMPDB	4.37984564059666e-05	0.0335058191505644
7	Arginine Proline metabolism	None	INOH	5.17077188091728e-05	0.0339054899048719
8	Propanoate metabolism	None	INOH	6.89564288160557e-05	0.039563751033212
9	Metabolism	R-HSA-1430728	Reactome	9.24315281014711e-05	0.0471400793317502
10	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	EHMN	0.000223471497646105	0.0951849346936633
11	Valine Leucine Isoleucine degradation	None	INOH	0.000236062663568501	0.0951849346936633
12	Propanoate metabolism	Propanoate metabolism	EHMN	0.000248849502467094	0.0951849346936633
13	alanine biosynthesis/degradation	ALANINE-DEG3-PWY	HumanCyc	0.000317429776924554	0.105596567480133
14	Alanine, aspartate and glutamate metabolism	path:hsa00250	KEGG	0.000364333567234183	0.105596567480133
15	Histidine metabolism	Histidine metabolism	EHMN	0.000364333567234183	0.105596567480133
16	Syndecan interactions	R-HSA-3000170	Reactome	0.00038311022012617	0.105596567480133
17	Metabolism of amino acids and derivatives	R-HSA-71291	Reactome	0.000391098398074566	0.105596567480133
18	Arginine biosynthesis	path:hsa00220	KEGG	0.000466666472605671	0.118999950514446
19	Transport of inorganic cations/anions and amino acids/oligopeptides	R-HSA-425393	Reactome	0.000576563101054732	0.123264807720875
20	2-Hydroxyglutric Aciduria (D And L Form)	SMP00136	SMPDB	0.000671376948370779	0.123264807720875
21	Homocarnosinosis	SMP00385	SMPDB	0.000671376948370779	0.123264807720875
22	Hyperinsulinism-Hyperammonemia Syndrome	SMP00339	SMPDB	0.000671376948370779	0.123264807720875
23	Succinic semialdehyde dehydrogenase deficiency	SMP00567	SMPDB	0.000671376948370779	0.123264807720875
24	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	SMP00243	SMPDB	0.000671376948370779	0.123264807720875
25	Glutamate Metabolism	SMP00072	SMPDB	0.000671376948370779	0.123264807720875
26	3-oxo-10R-octadecatrienoate beta-oxidation	3-oxo-10R-octadecatrienoate beta-oxidation	EHMN	0.000833835117660081	0.146649084427624
27	Non-integrin membrane-ECM interactions	R-HSA-3000171	Reactome	0.00086264167310367	0.146649084427624
28	Fatty acid degradation	path:hsa00071	KEGG	0.00106990364684594	0.154129693607029
29	Argininemia	SMP00357	SMPDB	0.00140762089760075	0.154129693607029
30	Lysine Degradation	SMP00037	SMPDB	0.00140762089760075	0.154129693607029
31	Hyperlysinemia I, Familial	SMP00527	SMPDB	0.00140762089760075	0.154129693607029
32	Citrullinemia Type I	SMP00001	SMPDB	0.00140762089760075	0.154129693607029
33	Carbamoyl Phosphate Synthetase Deficiency	SMP00002	SMPDB	0.00140762089760075	0.154129693607029
34	Argininosuccinic Aciduria	SMP00003	SMPDB	0.00140762089760075	0.154129693607029
35	2-aminoadipic 2-oxoadipic aciduria	SMP00719	SMPDB	0.00140762089760075	0.154129693607029
36	Pyridoxine dependency with seizures	SMP00571	SMPDB	0.00140762089760075	0.154129693607029
37	Saccharopinuria/Hyperlysinemia II	SMP00239	SMPDB	0.00140762089760075	0.154129693607029
38	Urea Cycle	SMP00059	SMPDB	0.00140762089760075	0.154129693607029
39	Glutaric Aciduria Type I	SMP00186	SMPDB	0.00140762089760075	0.154129693607029
40	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	SMP00205	SMPDB	0.00140762089760075	0.154129693607029
41	Hyperlysinemia II or Saccharopinuria	SMP00528	SMPDB	0.00140762089760075	0.154129693607029
42	Ion channel transport	R-HSA-983712	Reactome	0.00141033706568523	0.154129693607029
43	Arf6 trafficking events	arf6_traffickingpathway	PID	0.00144710993891939	0.154470572549768
44	Valine, leucine and isoleucine degradation	path:hsa00280	KEGG	0.00159223402931377	0.16609895896705
45	Arginine and proline metabolism	path:hsa00330	KEGG	0.00174777522609418	0.170740623857771
46	Fatty acid metabolism	R-HSA-8978868	Reactome	0.00180311942412796	0.170740623857771
47	Astrocytic Glutamate-Glutamine Uptake And Metabolism	R-HSA-210455	Reactome	0.00185991964986679	0.170740623857771
