pathway	external_id	source	pvalue	fdr
1	Generic Transcription Pathway	R-HSA-212436	Reactome	5.16418915141458e-06	0.0237036282049929
2	RNA Polymerase II Transcription	R-HSA-73857	Reactome	1.29007462747558e-05	0.0296072127005647
3	Gene expression (Transcription)	R-HSA-74160	Reactome	3.03625937265344e-05	0.0464547684015977
4	Sensing of DNA Double Strand Breaks	R-HSA-5693548	Reactome	0.00828438605752224	1
5	DDX1 as a regulatory component of the Drosha microprocessor	WP2942	Wikipathways	0.00965879944302916	1
6	Non-homologous end joining	WP438	Wikipathways	0.00965879944302916	1
7	HDR through MMEJ (alt-NHEJ)	R-HSA-5685939	Reactome	0.0137712538101653	1
8	Non-homologous end-joining	path:hsa03450	KEGG	0.0178675759627983	1
9	Homologous recombination	WP186	Wikipathways	0.0178675759627983	1
10	Irinotecan Pathway, Pharmacodynamics	PA2029	PharmGKB	0.0192294420465111	1
11	Golgi Cisternae Pericentriolar Stack Reorganization	R-HSA-162658	Reactome	0.0192294420465111	1
12	Regulation of KIT signaling	R-HSA-1433559	Reactome	0.0219478254751269	1
13	role of brca1 brca2 and atr in cancer susceptibility	atrbrcapathway	BioCarta	0.030060343844839	1
14	Irinotecan Action Pathway	SMP00433	SMPDB	0.0314062360596706	1
15	Irinotecan Metabolism Pathway	SMP00600	SMPDB	0.0314062360596706	1
16	BBSome-mediated cargo-targeting to cilium	R-HSA-5620922	Reactome	0.0314062360596706	1
17	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	R-HSA-5693554	Reactome	0.0367721871881891	1
18	DNA Damage/Telomere Stress Induced Senescence	R-HSA-2559586	Reactome	0.0381092813989253	1
19	BARD1 signaling events	bard1pathway	PID	0.0394446225168348	1
20	Resolution of D-loop Structures through Holliday Junction Intermediates	R-HSA-5693568	Reactome	0.0447684992922304	1
21	ATM pathway	atm_pathway	PID	0.0460951073481474	1
22	Resolution of D-Loop Structures	R-HSA-5693537	Reactome	0.0474199752546083	1
23	HDR through Single Strand Annealing (SSA)	R-HSA-5685938	Reactome	0.0500644992106687	1
24	SUMOylation of DNA replication proteins	R-HSA-4615885	Reactome	0.0500644992106687	1
25	Presynaptic phase of homologous DNA pairing and strand exchange	R-HSA-5693616	Reactome	0.0527020883185704	1
26	Homologous recombination	path:hsa03440	KEGG	0.0553327596967647	1
27	Homologous DNA Pairing and Strand Exchange	R-HSA-5693579	Reactome	0.0566455065759016	1
28	Signaling by SCF-KIT	R-HSA-1433557	Reactome	0.057956530424082	1
29	ATM Signaling Network in Development and Disease	WP3878	Wikipathways	0.0618792850573299	1
30	Fanconi anemia pathway	fanconi_pathway	PID	0.0618792850573299	1
31	Cargo trafficking to the periciliary membrane	R-HSA-5620920	Reactome	0.0683829470192207	1
32	DNA Repair	R-HSA-73894	Reactome	0.0702243075010283	1
33	Caspase Cascade in Apoptosis	caspase_pathway	PID	0.0761311336314417	1
34	Formation of TC-NER Pre-Incision Complex	R-HSA-6781823	Reactome	0.0761311336314417	1
35	Kit receptor signaling pathway	WP304	Wikipathways	0.0787003092632236	1
36	DNA Damage Response	WP707	Wikipathways	0.0901783248901975	1
37	Regulation of Telomerase	telomerasepathway	PID	0.0901783248901975	1
38	Gap-filling DNA repair synthesis and ligation in TC-NER	R-HSA-6782210	Reactome	0.0901783248901975	1
39	HDR through Homologous Recombination (HRR)	R-HSA-5685942	Reactome	0.0901783248901975	1
