pathway	external_id	source	pvalue	fdr
1	Glial Cell Differentiation	WP2276	Wikipathways	0.000449946991637849	1
2	Triglyceride metabolism	R-HSA-8979227	Reactome	0.000488671016986745	1
3	Signaling by FGFR1	R-HSA-5654736	Reactome	0.00109686485933849	1
4	FGFRL1 modulation of FGFR1 signaling	R-HSA-5658623	Reactome	0.00123714358147758	1
5	Glycerolipid metabolism	path:hsa00561	KEGG	0.00195149174048016	1
6	Regulation of RAS by GAPs	R-HSA-5658442	Reactome	0.00390943275206627	1
7	Fluorouracil Action Pathway	SMP00470	SMPDB	0.00407880560258578	1
8	Fluorouracil Metabolism Pathway	SMP00608	SMPDB	0.00407880560258578	1
9	homocarnosine biosynthesis	PWY66-421	HumanCyc	0.00407880560258578	1
10	carnosine biosynthesis	PWY66-420	HumanCyc	0.00407880560258578	1
11	Triglyceride catabolism	R-HSA-163560	Reactome	0.00425373863243383	1
12	TRP channels	R-HSA-3295583	Reactome	0.00461160160733659	1
13	Basigin interactions	R-HSA-210991	Reactome	0.00498290962306913	1
14	Signaling by FGFR	R-HSA-190236	Reactome	0.00533514004534841	1
15	Effects of PIP2 hydrolysis	R-HSA-114508	Reactome	0.00536755128444991	1
16	One Carbon Metabolism	WP241	Wikipathways	0.00576541585147698	1
17	Stimuli-sensing channels	R-HSA-2672351	Reactome	0.00828015262752721	1
18	Circadian Clock	R-HSA-400253	Reactome	0.00891154307556666	1
19	Amino acid synthesis and interconversion (transamination)	R-HSA-70614	Reactome	0.00891154307556666	1
20	Metabolism	R-HSA-1430728	Reactome	0.00981119227424878	1
21	dolichol and dolichyl phosphate biosynthesis	PWY-6129	HumanCyc	0.0121875088507576	1
22	RHO GTPases regulate CFTR trafficking	R-HSA-5627083	Reactome	0.0121875088507576	1
23	Vascular smooth muscle contraction	path:hsa04270	KEGG	0.0131565079390038	1
24	Metabolism of steroids	R-HSA-8957322	Reactome	0.0149729656526765	1
25	Transcriptional  activation of  cell cycle inhibitor p21 	R-HSA-69895	Reactome	0.0162175344092911	1
26	Transcriptional activation of p53 responsive genes  	R-HSA-69560	Reactome	0.0162175344092911	1
27	Adipogenesis	WP236	Wikipathways	0.0162590848572968	1
28	Glycerophospholipid biosynthesis	R-HSA-1483206	Reactome	0.0169248124950123	1
29	Metabolism of lipids	R-HSA-556833	Reactome	0.016940298549015	1
30	Transport of small molecules	R-HSA-382551	Reactome	0.0175891102504683	1
31	Mineral absorption	path:hsa04978	KEGG	0.0183206515758346	1
32	Signaling events mediated by Stem cell factor receptor (c-Kit)	kitpathway	PID	0.0190042901553555	1
33	Bile acid biosynthesis	Bile acid biosynthesis	EHMN	0.0196985866035926	1
34	Capecitabine Action Pathway	SMP00469	SMPDB	0.0202314274559665	1
35	Capecitabine Metabolism Pathway	SMP00607	SMPDB	0.0202314274559665	1
36	Arachidonate production from DAG	R-HSA-426048	Reactome	0.0202314274559665	1
37	pyrimidine deoxyribonucleosides salvage	PWY-7199	HumanCyc	0.0202314274559665	1
38	dTMP de novo biosynthesis (mitochondrial)	PWY66-385	HumanCyc	0.0202314274559665	1
39	Copper homeostasis	WP3286	Wikipathways	0.0211187743583512	1
40	Lipid storage and perilipins in skeletal muscle	WP2887	Wikipathways	0.0242292513334651	1
41	Proton-coupled monocarboxylate transport	R-HSA-433692	Reactome	0.0242292513334651	1
42	Synthesis of Dolichyl-phosphate	R-HSA-446199	Reactome	0.0242292513334651	1
43	Methotrexate Pathway (Brain Cell), Pharmacokinetics	PA165816270	PharmGKB	0.0282110691406197	1
44	coenzyme A biosynthesis	COA-PWY-1	HumanCyc	0.0282110691406197	1
45	Signaling by Rho GTPases	R-HSA-194315	Reactome	0.0303043631260617	1
46	Tight junction	path:hsa04530	KEGG	0.0319901683538558	1
47	Excitatory Neural Signalling Through 5-HTR 4 and Serotonin	SMP00309	SMPDB	0.0321769437333316	1
48	Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	SMP00311	SMPDB	0.0321769437333316	1
49	Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	SMP00312	SMPDB	0.0321769437333316	1
