pathway	external_id	source	pvalue	fdr
1	Other semaphorin interactions	R-HSA-416700	Reactome	0.00170694095712413	1
2	Transport of small molecules	R-HSA-382551	Reactome	0.00206851817553179	1
3	Primary Focal Segmental Glomerulosclerosis FSGS	WP2572	Wikipathways	0.00238987381292188	1
4	Sphingolipid Metabolism	SMP00034	SMPDB	0.00263766531208532	1
5	Gaucher Disease	SMP00349	SMPDB	0.00263766531208532	1
6	Globoid Cell Leukodystrophy	SMP00348	SMPDB	0.00263766531208532	1
7	Metachromatic Leukodystrophy (MLD)	SMP00347	SMPDB	0.00263766531208532	1
8	Fabry disease	SMP00525	SMPDB	0.00263766531208532	1
9	Krabbe disease	SMP00526	SMPDB	0.00263766531208532	1
10	Ether lipid metabolism	path:hsa00565	KEGG	0.00298795772718341	1
11	Aryl hydrocarbon receptor signalling	R-HSA-8937144	Reactome	0.0032662157844285	1
12	Attachment of GPI anchor to uPAR	R-HSA-162791	Reactome	0.0032662157844285	1
13	Miscellaneous transport and binding events	R-HSA-5223345	Reactome	0.00340244665031277	1
14	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	path:hsa00563	KEGG	0.00383048090053771	1
15	Signal Transduction of S1P Receptor	WP26	Wikipathways	0.00383048090053771	1
16	Sphingolipid signaling pathway	path:hsa04071	KEGG	0.00403256953083417	1
17	S1P5 pathway	s1p_s1p5_pathway	PID	0.00431849016125016	1
18	Transport of nucleotide sugars	R-HSA-727802	Reactome	0.00550590184060659	1
19	NCAM signaling for neurite out-growth	R-HSA-375165	Reactome	0.00677503084577334	1
20	Axon guidance	path:hsa04360	KEGG	0.0072135750984326	1
21	Semaphorin interactions	R-HSA-373755	Reactome	0.00900571360948759	1
22	NCAM1 interactions	R-HSA-419037	Reactome	0.0115738650221015	1
23	G13 Signaling Pathway	WP524	Wikipathways	0.0124500614829905	1
24	dicer pathway	dicerpathway	BioCarta	0.0127751269816838	1
25	S1P4 pathway	s1p_s1p4_pathway	PID	0.0133470092175232	1
26	Axon guidance	R-HSA-422475	Reactome	0.0163927378983167	1
27	O-linked glycosylation	R-HSA-5173105	Reactome	0.0165042017667836	1
28	a6b1 and a6b4 Integrin signaling	a6b1_a6b4_integrin_pathway	PID	0.0196305491860123	1
29	MET activates PTK2 signaling	R-HSA-8874081	Reactome	0.0217047750416238	1
30	Sphingolipid metabolism	path:hsa00600	KEGG	0.0220224799868915	1
31	Arf6 trafficking events	arf6_traffickingpathway	PID	0.0220224799868915	1
32	Platelet Aggregation Inhibitor Pathway, Pharmacodynamics	PA154444041	PharmGKB	0.0245664800796506	1
33	Hypoxia-mediated EMT and Stemness	WP2943	Wikipathways	0.0253880207645698	1
34	Insulin effects increased synthesis of Xylulose-5-Phosphate	R-HSA-163754	Reactome	0.0253880207645698	1
35	HH-Ncore	None	Signalink	0.0265094632666463	1
36	Sphingosine 1-phosphate (S1P) pathway	s1p_meta_pathway	PID	0.029057891609487	1
37	Small cell lung cancer	path:hsa05222	KEGG	0.0312075876938223	1
38	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	EHMN	0.0312075876938223	1
39	miR-targeted genes in muscle cell - TarBase	WP2005	Wikipathways	0.0326725371017287	1
40	Signaling events mediated by the Hedgehog family	hedgehog_2pathway	PID	0.0344327548208376	1
41	SLC-mediated transmembrane transport	R-HSA-425407	Reactome	0.0372053611648631	1
42	Xenobiotics	R-HSA-211981	Reactome	0.037253691927249	1
43	Synthesis of very long-chain fatty acyl-CoAs	R-HSA-75876	Reactome	0.037253691927249	1
44	PI3K-Akt signaling pathway	path:hsa04151	KEGG	0.0374637750034108	1
45	Uptake and function of diphtheria toxin	R-HSA-5336415	Reactome	0.0378407292431018	1
46	Vitamins B6 activation to pyridoxal phosphate	R-HSA-964975	Reactome	0.0378407292431018	1
47	fatty acid &alpha;-oxidation III	PWY66-388	HumanCyc	0.0378407292431018	1
48	Transport of connexins along the secretory pathway	R-HSA-190827	Reactome	0.0378407292431018	1
49	Oligomerization of connexins into connexons	R-HSA-190704	Reactome	0.0378407292431018	1
50	Gap junction assembly	R-HSA-190861	Reactome	0.0378407292431018	1
51	acetate conversion to acetyl-CoA	PWY0-1313	HumanCyc	0.0378407292431018	1
52	Interleukin-38 signaling	R-HSA-9007892	Reactome	0.0378407292431018	1
53	Cyclin A/B1/B2 associated events during G2/M transition	R-HSA-69273	Reactome	0.0401600581034847	1
54	Stimuli-sensing channels	R-HSA-2672351	Reactome	0.0416443530974487	1
55	Signaling by MET	R-HSA-6806834	Reactome	0.0429955071451119	1
56	Sphingolipid pathway	WP1422	Wikipathways	0.0431492389455166	1
57	Degradation of the extracellular matrix	R-HSA-1474228	Reactome	0.0455121123189769	1
58	Endogenous sterols	R-HSA-211976	Reactome	0.046218672193622	1
59	thrombin signaling and protease-activated receptors	par1pathway	BioCarta	0.046218672193622	1
60	MET promotes cell motility	R-HSA-8875878	Reactome	0.046218672193622	1
61	Integrins in angiogenesis	avb3_integrin_pathway	PID	0.0465840087086723	1
62	Cushing syndrome	path:hsa04934	KEGG	0.0475680206380608	1
63	G1 to S cell cycle control	WP45	Wikipathways	0.0484321215824027	1
64	CDK-mediated phosphorylation and removal of Cdc6	R-HSA-69017	Reactome	0.0493658468400272	1
65	Amino acid conjugation of benzoic acid	WP521	Wikipathways	0.050135274616487	1
66	Synthesis of PIPs in the nucleus	R-HSA-8847453	Reactome	0.050135274616487	1
67	trehalose degradation	PWY0-1182	HumanCyc	0.050135274616487	1
68	Vitamin B6 metabolism	None	INOH	0.050135274616487	1
