pathway	external_id	source	pvalue	fdr
1	Neuronal System	R-HSA-112316	Reactome	3.88835259359418e-39	1.78475384045973e-35
2	Transmission across Chemical Synapses	R-HSA-112315	Reactome	3.34431437213307e-25	7.67520148404539e-22
3	Axon guidance	R-HSA-422475	Reactome	6.05366066342722e-19	9.26210081504365e-16
4	Neurotransmitter receptors and postsynaptic signal transmission	R-HSA-112314	Reactome	8.95113511659798e-18	1.02714275462962e-14
5	Protein-protein interactions at synapses	R-HSA-6794362	Reactome	7.84670769915333e-16	7.20327766782275e-13
6	Dopaminergic synapse	path:hsa04728	KEGG	3.29176020141438e-14	2.518196554082e-11
7	Synaptic vesicle cycle	path:hsa04721	KEGG	1.34316905722495e-13	8.80735138951785e-11
8	Neurexins and neuroligins	R-HSA-6794361	Reactome	9.38457048656106e-13	5.38439731666441e-10
9	EGFR1	Pathway_EGFR1	NetPath	1.21463206664407e-11	6.19462353988476e-09
10	Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	WP706	Wikipathways	2.7280538291247e-11	1.15700538588242e-08
11	Calcium Regulation in the Cardiac Cell	WP536	Wikipathways	2.77277979187508e-11	1.15700538588242e-08
12	Calcium signaling pathway	path:hsa04020	KEGG	3.28471707572043e-11	1.25640428146306e-08
13	Synaptic Vesicle Pathway	WP2267	Wikipathways	4.64107143212532e-11	1.63865522103502e-08
14	Trafficking of AMPA receptors	R-HSA-399719	Reactome	1.37515483467539e-10	4.2079737941067e-08
15	Glutamate binding, activation of AMPA receptors and synaptic plasticity	R-HSA-399721	Reactome	1.37515483467539e-10	4.2079737941067e-08
16	Cardiac conduction	R-HSA-5576891	Reactome	2.04297816048676e-10	5.8607935978964e-08
17	Glutamatergic synapse	path:hsa04724	KEGG	2.22098774097275e-10	5.99666690062641e-08
18	Adrenergic signaling in cardiomyocytes	path:hsa04261	KEGG	2.53616701931701e-10	6.46722589925838e-08
19	Axon guidance	path:hsa04360	KEGG	2.78260178278449e-10	6.69279627106288e-08
20	Activation of NMDA receptor and postsynaptic events	R-HSA-442755	Reactome	2.91625109850234e-10	6.69279627106288e-08
21	Muscle contraction	R-HSA-397014	Reactome	4.97912291867446e-10	1.08829400936742e-07
22	GPCR Dopamine D1like receptor	None	INOH	7.71184870398189e-10	1.60897207051259e-07
23	Phase 0 - rapid depolarisation	R-HSA-5576892	Reactome	8.71991528971139e-10	1.74019179042501e-07
24	Cholinergic synapse	path:hsa04725	KEGG	9.16136543729167e-10	1.75211113988203e-07
25	Long-term potentiation	path:hsa04720	KEGG	3.05889068371327e-09	5.61612329529757e-07
26	Voltage gated Potassium channels	R-HSA-1296072	Reactome	5.67413116494537e-09	1.00170238642689e-06
