	de~LBD_DE_p62.txt	de~LBD_DE_pS65.txt	module.txt	module_de_LBD_DE_p62.txt	module_de_LBD_DE_pS65.txt	rowSum	cross
sp|Q8IUR7|ARMC8_HUMAN	1	1	3	1	1	7	True
sp|Q58FF7|H90B3_HUMAN	1	1	3	1	1	7	True
sp|Q9H2W6|RM46_HUMAN	1	1	2	2	1	7	True
sp|O15294|OGT1_HUMAN	1	1	2	1	1	6	True
sp|Q8IUR7-6|ARMC8_HUMAN	1	1	2	1	1	6	True
sp|Q58FF8|H90B2_HUMAN	0	0	3	1	1	5	True
sp|P08238|HS90B_HUMAN	0	0	3	1	1	5	True
sp|O94805|ACL6B_HUMAN	0	1	2	1	1	5	True
sp|Q5TAQ9|DCAF8_HUMAN	1	1	1	1	1	5	True
sp|P48067-2|SC6A9_HUMAN	0	0	2	1	1	4	True
sp|O43157|PLXB1_HUMAN	0	0	2	1	1	4	True
sp|P25098|ARBK1_HUMAN	0	0	2	1	1	4	True
sp|P82673|RT35_HUMAN	1	0	2	1	0	4	False
sp|O15355|PPM1G_HUMAN	0	1	2	0	1	4	False
sp|P51398|RT29_HUMAN	1	0	2	1	0	4	False
tr|H0YDN1|H0YDN1_HUMAN	0	0	3	1	0	4	False
sp|Q9UMS4|PRP19_HUMAN	0	0	3	1	0	4	False
sp|Q14011|CIRBP_HUMAN	1	0	2	1	0	4	False
sp|P62829|RL23_HUMAN	0	0	3	0	0	3	False
sp|P62913-2|RL11_HUMAN	0	0	3	0	0	3	False
sp|P62913|RL11_HUMAN	0	0	3	0	0	3	False
sp|Q08289-10|CACB2_HUMAN	0	0	3	0	0	3	False
sp|Q9UPM8|AP4E1_HUMAN	0	0	3	0	0	3	False
sp|Q6P2Q9|PRP8_HUMAN	0	0	3	0	0	3	False
sp|Q96E39|RMXL1_HUMAN	0	0	3	0	0	3	False
tr|Q53GL6|Q53GL6_HUMAN	0	0	3	0	0	3	False
sp|P53794|SC5A3_HUMAN	0	0	3	0	0	3	False
sp|P82650|RT22_HUMAN	0	0	2	1	0	3	False
sp|P61088|UBE2N_HUMAN	0	0	3	0	0	3	False
sp|Q5JXB2|UE2NL_HUMAN	0	0	3	0	0	3	False
sp|P48047|ATPO_HUMAN	0	0	3	0	0	3	False
sp|O60361|NDK8_HUMAN	0	0	3	0	0	3	False
sp|Q96EY7|PTCD3_HUMAN	1	0	2	0	0	3	False
sp|P46937|YAP1_HUMAN	0	0	3	0	0	3	False
sp|Q92552|RT27_HUMAN	1	0	1	1	0	3	False
sp|P07437|TBB5_HUMAN	0	1	1	0	1	3	False
tr|B3KML9|B3KML9_HUMAN	0	1	1	0	1	3	False
tr|B4DFH6|B4DFH6_HUMAN	0	1	1	0	1	3	False
tr|B4DMU8|B4DMU8_HUMAN	0	1	1	0	1	3	False
sp|Q92552-2|RT27_HUMAN	1	0	1	1	0	3	False
sp|O75643|U520_HUMAN	0	0	3	0	0	3	False
sp|P38159|RBMX_HUMAN	0	0	3	0	0	3	False
sp|P15311|EZRI_HUMAN	0	0	3	0	0	3	False
sp|P22392|NDKB_HUMAN	0	0	3	0	0	3	False
sp|P38159-2|RBMX_HUMAN	0	0	3	0	0	3	False
sp|P10828|THB_HUMAN	0	0	3	0	0	3	False
sp|P46937-3|YAP1_HUMAN	0	0	3	0	0	3	False
sp|Q9BYB0|SHAN3_HUMAN	0	0	2	0	0	2	False
sp|Q9C0C2|TB182_HUMAN	0	0	2	0	0	2	False
sp|Q9H7D0|DOCK5_HUMAN	0	0	2	0	0	2	False
sp|Q9HB71|CYBP_HUMAN	0	0	2	0	0	2	False
sp|Q9UD71|PPR1B_HUMAN	0	0	2	0	0	2	False
sp|Q9UBQ7-2|GRHPR_HUMAN	0	0	2	0	0	2	False
sp|Q9UBQ7|GRHPR_HUMAN	0	0	2	0	0	2	False
sp|Q9UKM9-2|RALY_HUMAN	0	0	2	0	0	2	False
sp|Q9UKM9|RALY_HUMAN	0	0	2	0	0	2	False
sp|Q9BX66|SRBS1_HUMAN	0	0	2	0	0	2	False
sp|Q9UKX7|NUP50_HUMAN	0	0	2	0	0	2	False
sp|Q9BY89|K1671_HUMAN	0	0	2	0	0	2	False
sp|Q96PV0-2|SYGP1_HUMAN	0	0	2	0	0	2	False
sp|Q9BX66-6|SRBS1_HUMAN	0	0	2	0	0	2	False
sp|Q9BX66-10|SRBS1_HUMAN	0	0	2	0	0	2	False
sp|Q99623|PHB2_HUMAN	0	0	2	0	0	2	False
sp|Q96T17|MA7D2_HUMAN	0	0	2	0	0	2	False
sp|Q96Q04|LMTK3_HUMAN	0	0	2	0	0	2	False
sp|Q96PV0|SYGP1_HUMAN	0	0	2	0	0	2	False
sp|Q96HC4|PDLI5_HUMAN	0	0	2	0	0	2	False
sp|Q96HC4-2|PDLI5_HUMAN	0	0	2	0	0	2	False
sp|Q96DT6|ATG4C_HUMAN	0	0	2	0	0	2	False
sp|Q8N7J2-2|AMER2_HUMAN	0	0	2	0	0	2	False
sp|Q93050|VPP1_HUMAN	0	0	2	0	0	2	False
sp|Q8WWI5|CTL1_HUMAN	0	0	2	0	0	2	False
sp|Q8N7J2|AMER2_HUMAN	0	0	2	0	0	2	False
sp|Q9UP83-2|COG5_HUMAN	0	0	2	0	0	2	False
sp|Q9UNX3|RL26L_HUMAN	0	0	2	0	0	2	False
tr|F8W1G6|F8W1G6_HUMAN	0	0	2	0	0	2	False
sp|Q9UPQ0-6|LIMC1_HUMAN	0	0	2	0	0	2	False
tr|B4E0V3|B4E0V3_HUMAN	0	0	2	0	0	2	False
sp|P0DPH7-2|TBA3C_HUMAN	0	0	1	0	1	2	False
tr|A0A024RBS1|A0A024RBS1_HUMAN	0	0	1	0	1	2	False
tr|U3KQ56|U3KQ56_HUMAN	0	0	2	0	0	2	False
tr|Q9NVB8|Q9NVB8_HUMAN	0	0	2	0	0	2	False
tr|Q59E92|Q59E92_HUMAN	0	0	2	0	0	2	False
tr|H0YEA2|H0YEA2_HUMAN	0	0	2	0	0	2	False
tr|H0YE40|H0YE40_HUMAN	0	0	2	0	0	2	False
tr|G3V3A4|G3V3A4_HUMAN	0	0	2	0	0	2	False
sp|Q8N3V7-2|SYNPO_HUMAN	0	0	2	0	0	2	False
tr|C9JTM0|C9JTM0_HUMAN	0	0	2	0	0	2	False
tr|B7Z9B7|B7Z9B7_HUMAN	0	0	2	0	0	2	False
tr|B7Z6M0|B7Z6M0_HUMAN	0	0	2	0	0	2	False
tr|B7Z4C7|B7Z4C7_HUMAN	0	0	2	0	0	2	False
tr|B4DQA3|B4DQA3_HUMAN	0	0	2	0	0	2	False
sp|Q9Y490|TLN1_HUMAN	0	0	2	0	0	2	False
tr|B4DK09|B4DK09_HUMAN	0	0	2	0	0	2	False
tr|B4DIP2|B4DIP2_HUMAN	0	0	2	0	0	2	False
tr|A8MXP9|A8MXP9_HUMAN	0	0	2	0	0	2	False
tr|A0A669KBC2|A0A669KBC2_HUMAN	0	0	2	0	0	2	False
tr|A0A3G9CLN8|A0A3G9CLN8_HUMAN	0	0	2	0	0	2	False
tr|A0A2U3TZM7|A0A2U3TZM7_HUMAN	0	0	2	0	0	2	False
tr|A0A0U1RRB5|A0A0U1RRB5_HUMAN	0	0	2	0	0	2	False
tr|A0A0S2Z507|A0A0S2Z507_HUMAN	0	0	2	0	0	2	False
sp|Q9Y639-3|NPTN_HUMAN	0	0	2	0	0	2	False
sp|Q9Y5K5|UCHL5_HUMAN	0	0	2	0	0	2	False
sp|Q9Y5K5-2|UCHL5_HUMAN	0	0	2	0	0	2	False
sp|Q9Y4J8-13|DTNA_HUMAN	0	0	2	0	0	2	False
sp|Q9Y4J8-10|DTNA_HUMAN	0	0	2	0	0	2	False
sp|Q8N3V7|SYNPO_HUMAN	0	0	2	0	0	2	False
tr|E9PS77|E9PS77_HUMAN	0	0	2	0	0	2	False
sp|Q7Z3Y7|K1C28_HUMAN	0	0	2	0	0	2	False
sp|P36542|ATPG_HUMAN	0	0	2	0	0	2	False
sp|P31930|QCR1_HUMAN	0	0	2	0	0	2	False
sp|P30101|PDIA3_HUMAN	0	0	2	0	0	2	False
sp|P22307|NLTP_HUMAN	0	0	2	0	0	2	False
sp|P17844|DDX5_HUMAN	0	0	2	0	0	2	False
sp|P17252|KPCA_HUMAN	0	0	2	0	0	2	False
sp|P16070-7|CD44_HUMAN	0	0	2	0	0	2	False
sp|P15531|NDKA_HUMAN	0	0	2	0	0	2	False
sp|P13645|K1C10_HUMAN	0	0	2	0	0	2	False
sp|P0C7P4|UCRIL_HUMAN	0	0	2	0	0	2	False
sp|P08575|PTPRC_HUMAN	0	0	2	0	0	2	False
sp|P07900|HS90A_HUMAN	0	0	2	0	0	2	False
sp|P07108|ACBP_HUMAN	0	0	2	0	0	2	False
sp|P07093|GDN_HUMAN	0	0	2	0	0	2	False
sp|P05107|ITB2_HUMAN	0	0	2	0	0	2	False
sp|P04844|RPN2_HUMAN	0	0	2	0	0	2	False
sp|P04792|HSPB1_HUMAN	0	0	2	0	0	2	False
sp|O95817|BAG3_HUMAN	0	0	2	0	0	2	False
sp|O95741-2|CPNE6_HUMAN	0	0	2	0	0	2	False
sp|O76039|CDKL5_HUMAN	0	0	2	0	0	2	False
sp|O75533|SF3B1_HUMAN	0	0	2	0	0	2	False
sp|O43760-2|SNG2_HUMAN	0	0	2	0	0	2	False
sp|O14639-5|ABLM1_HUMAN	0	0	2	0	0	2	False
sp|O14490-3|DLGP1_HUMAN	0	0	2	0	0	2	False
sp|O00193|SMAP_HUMAN	0	0	2	0	0	2	False
sp|B4DS77|SHSA9_HUMAN	0	0	2	0	0	2	False
sp|Q9Y676|RT18B_HUMAN	1	0	0	1	0	2	False
sp|Q76NI1|KNDC1_HUMAN	0	0	2	0	0	2	False
sp|P35626|ARBK2_HUMAN	0	0	2	0	0	2	False
sp|P07093-2|GDN_HUMAN	0	0	2	0	0	2	False
sp|P38117|ETFB_HUMAN	0	0	2	0	0	2	False
sp|Q13825|AUHM_HUMAN	0	0	2	0	0	2	False
sp|Q4G0U5|PCDP1_HUMAN	0	0	2	0	0	2	False
sp|Q6GQQ9|OTU7B_HUMAN	0	0	2	0	0	2	False
