alias_previous_symbol	index
NCRNA00181	2
A1BGAS	2
A1BG-AS	2
FLJ23569	2
ACF	3
ASP	3
ACF64	3
ACF65	3
APOBEC1CF	3
FWP007	4
S863-7	4
CPAMD5	4
CPAMD9	6
FLJ25179	6
p170	6
A2MP	9
A3GALT2P	10
IGBS3S	10
IGB3S	10
P1	11
A14GALT	11
Gb3S	11
P(k)	11
alpha4GnT	12
FLJ12389	14
SUR-5	14
ACSF1	14
AACSL	15
DAC	16
CES5A1	16
MGC72001	17
OTTHUMG00000001887	19
OTTHUMG00000001889	20
KATII	22
KAT2	22
KYAT2	22
FLJ11506	23
p34	23
KIAA1048	24
DKFZp686K16132	24
C11orf67	25
PTD015	25
FLJ21035	25
CK067	25
SNAT	27
C20orf4	28
bA234K24.2	28
C8orf85	29
LOC441376	29
AARS	30
CMT2N	30
AlaRS	30
AARSP1	31
AARSL	32
KIAA1270	32
bA444E17.1	32
MGC2744	33
NRPS998	35
LYS2	35
ACSF4	35
LYS5	36
CGI-80	36
AASD-PPT	36
ACPS	36
LORSDH	37
LKRSDH	37
DED	39
CHE-1	39
CHE1	39
BFR2	39
AATYK	40
KIAA0641	40
LMTK1	40
LMR1	40
AATYK1	40
PPP1R77	40
AAV	41
INXS	42
GABAT	43
GABA-T	43
ABC1	44
HDLDT1	44
TGD	44
ABC2	45
ABC3	46
ABC-C	46
EST111653	46
LBM180	46
STGD1	47
ABCR	47
RP19	47
STGD	47
FFM	47
ARMD2	47
CORD3	47
EST90625	48
EST155051	49
ABCX	50
KIAA0822	51
EST640918	52
EST698739	54
ABCA11	55
EST1133530	55
FLJ14297	55
ICR2B	56
DKFZP434G232	56
LI2	56
FLJ33876	57
FLJ33951	57
PGY1	59
MDR1	59
CLCS	59
P-gp	59
CD243	59
GP170	59
ABC20	59
PGY3	60
MDR3	60
MDR2	60
PFIC-3	60
GBD1	60
EST422562	61
ABCB5beta	61
ABCB5alpha	61
EST45597	62
umat	62
MTABC3	62
ABC7	63
EST140535	63
Atm1p	63
ASAT	63
EST328128	64
M-ABC1	64
MABC1	64
MITOSUR	64
EST122234	65
EST20237	66
M-ABC2	66
MTABC2	66
ABCB10P	67
ABCB10P2	67
M-ABC2	67
MABC2	67
BSEP	70
PFIC2	70
ABC16	70
SPGP	70
PFIC-2	70
PGY4	70
MRP	71
MRP1	71
GS-X	71
CMOAT	72
DJS	72
MRP2	72
cMRP	72
MRP3	73
cMOAT2	73
EST90757	73
MLP2	73
MOAT-D	73
MRP4	74
EST170205	74
MOAT-B	74
MOATB	74
MRP5	75
SMRP	75
EST277145	75
MOAT-C	75
ARA	77
PXE	77
MRP6	77
EST349056	77
MLP1	77
URG7	77
SUR	80
HRINS	80
HI	80
PHHI	80
SUR1	80
MRP8	80
ABC36	80
HHF1	80
TNDM2	80
SUR2	81
CMD1O	81
EST182763	82
MRP7	82
SIMRP7	82
MRP8	83
MRP9	84
PRED6	85
C21orf73	85
ABCC13P	85
ALD	86
AMN	86
ALDP	86
adrenoleukodystrophy	86
bA453N3.6	88
ALDL1	92
ALDR	92
ALDRP	92
PXMP1	93
PMP70	93
ZWS2	93
PXMP1L	94
PMP69	94
P70R	94
EST352188	94
RNASEL1	95
RNASELI	95
RNS4I	95
RLI	95
OABP	95
RLI1	95
ABC50	96
EST123147	96
EST133090	98
ABC28	98
M-ABC1	98
HUSSY-18	98
EST201864	102
ABC8	103
EST157481	104
MXR	104
BCRP	104
ABCP	104
CD338	104
WHITE2	105
STSL	106
GBD4	107
LABH1	108
FLJ36128	108
LABH2	109
LABH3	110
FLJ12816	111
CGI-58	112
NCIE2	112
FLJ11743	114
MGC14280	114
MGC2512	114
FLJ11342	115
WBSCR21	116
PP1226	116
WBSCR26	117
LINC00035	117
NCRNA00035	117
C20orf22	118
DKFZP434P106	118
dJ965G21.2	118
BEM46L2	118
ABHD12A	118
C14orf29	119
BEM46L3	119
C13orf6	120
bA153I24.2	120
FLJ14906	120
BEM46L1	120
DKFZP564O243	121
DORZ1	121
MGC15429	123
CIB	123
linc-TP53I13	125
lnc-TP53I13	125
BAT5	126
NG26	126
D6S82E	126
C20orf135	127
dJ591C20.1	127
C19orf27	128
FAM108A1	128
MGC5244	128
FAM108A2	129
ABHD17AP2	129
FAM108A3	129
FAM108A11P	129
FAM108A3P	129
C1orf47	129
FAM108A4	130
FAM108A4P	130
FAM108A5	131
FAM108A5P	131
FAM108A6	132
FAM108A6P	132
FAM108A7P	133
FAM108A8P	134
FAM108A9P	135
FAM108A10P	136
C9orf77	137
FAM108B1	137
CGI-67	137
FAM108C1	138
C4orf29	139
FLJ21106	139
SSH3BP1	140
E3B1	140
ABI-1	140
SSH3BP1P	141
ABI1P	141
ABI-2	142
AIP-1	142
ABI2B	142
AblBP3	142
argBPIA	142
SSH3BP2	142
NESH	143
SSH3BP3	143
NESHBP	144
DKFZP586L2024	144
TARSH	144
C9orf6	145
FAM206A	145
CG-8	145
FLJ20457	145
Simiate	145
FAM206BP	146
ABL	147
JTK7	147
c-ABL	147
p150	147
ABLL	148
ARG	148
LIMAB1	149
ABLIM	149
abLIM	149
limatin	149
KIAA1808	150
KIAA0843	151
A3GALNT	152
A3GALT1	152
MDB	153
STARS	154
C6orf115	155
PRO2013	155
HSPC280	155
Costars	155
CCDC98	156
FAM175A	156
FLJ13614	156
ABRA1	156
ABRAXAS	156
KIAA0157	157
FAM175B	157
Em:AC068896.4	157
ABRO1	157
Esf2	158
BPOZ	160
EF1ABP	160
Btb3	160
BTBD21	160
