ENSG00000101336	ENSG00000100365
ENSG00000108262	ENSG00000267427
ENSG00000042980	ENSG00000133246
ENSG00000129219	ENSG00000236144
ENSG00000173369	ENSG00000197249
ENSG00000205362	ENSG00000205364
ENSG00000100003	ENSG00000110660
ENSG00000197050	ENSG00000163320
ENSG00000160877	ENSG00000102981
ENSG00000141985	ENSG00000130402
ENSG00000103494	ENSG00000106692
ENSG00000165168	ENSG00000184574
ENSG00000148926	ENSG00000113739
ENSG00000170791	ENSG00000132383
ENSG00000103404	ENSG00000063322
ENSG00000171766	ENSG00000134376
ENSG00000011600	ENSG00000114013
ENSG00000117152	ENSG00000054277
ENSG00000104524	ENSG00000177646
ENSG00000250240	ENSG00000240475
ENSG00000205763	ENSG00000215241
ENSG00000181192	ENSG00000174483
ENSG00000138279	ENSG00000268313
ENSG00000158528	ENSG00000122786
ENSG00000164292	ENSG00000079482
ENSG00000238197	ENSG00000188811
ENSG00000148053	ENSG00000119471
ENSG00000165102	ENSG00000251595
ENSG00000116984	ENSG00000164073
ENSG00000139793	ENSG00000114757
ENSG00000139154	ENSG00000137343
ENSG00000136770	ENSG00000243695
ENSG00000148053	ENSG00000129244
ENSG00000118162	ENSG00000171723
ENSG00000145451	ENSG00000070729
ENSG00000120129	ENSG00000128917
ENSG00000175054	ENSG00000165359
ENSG00000107317	ENSG00000031003
ENSG00000134253	ENSG00000047230
ENSG00000106665	ENSG00000102409
ENSG00000066336	ENSG00000130208
ENSG00000204287	ENSG00000038945
ENSG00000262576	ENSG00000253305
ENSG00000079215	ENSG00000127603
ENSG00000264666	ENSG00000101109
ENSG00000267484	ENSG00000235426
ENSG00000135597	ENSG00000160310
ENSG00000234606	ENSG00000172650
ENSG00000158296	ENSG00000130023
ENSG00000072952	ENSG00000177112
ENSG00000100647	ENSG00000125845
ENSG00000134684	ENSG00000156395
ENSG00000168610	ENSG00000113916
ENSG00000182511	ENSG00000105538
ENSG00000253731	ENSG00000261934
ENSG00000213722	ENSG00000165801
ENSG00000154310	ENSG00000153944
ENSG00000163320	ENSG00000167447
ENSG00000198894	ENSG00000178104
ENSG00000165533	ENSG00000144401
ENSG00000059588	ENSG00000251022
ENSG00000156510	ENSG00000132259
ENSG00000136854	ENSG00000170522
ENSG00000118162	ENSG00000198363
ENSG00000176463	ENSG00000140848
ENSG00000241732	ENSG00000062096
ENSG00000099942	ENSG00000005889
ENSG00000185885	ENSG00000163755
ENSG00000099622	ENSG00000100983
ENSG00000108262	ENSG00000148337
ENSG00000150337	ENSG00000105697
ENSG00000223865	ENSG00000204252
ENSG00000079215	ENSG00000105854
ENSG00000198932	ENSG00000136271
ENSG00000123374	ENSG00000177464
ENSG00000113649	ENSG00000196460
ENSG00000070540	ENSG00000141337
ENSG00000100346	ENSG00000161682
ENSG00000130997	ENSG00000044090
ENSG00000111790	ENSG00000117362
ENSG00000173905	ENSG00000162437
ENSG00000103021	ENSG00000164406
ENSG00000230733	ENSG00000112658
ENSG00000262019	ENSG00000176444
