from	to
6506	2885
8528	6506
6506	8528
2806	6506
6506	2806
2805	6506
6506	2805
2885	2885-6464-9846
9846	2885
2885	9846
2885	5998
2885	6654_6655
2885	2066-2885-3084-6464
2885	2534
2885	2885-3688-6464-6654
2885	5894
2885	2885-6464
2885	26084
151742_160760_54704_5494_5495_5496_5781_8493_9647	2885
2885	151742_160760_54704_5494_5495_5496_5781_8493_9647
2885	3690
2885	2885-6654-9846
2885	2885-3479-3480-3667-6464-6654-10399
2885	2889
2885	867
2885	1785
2885	2885-6655
2885	2885-7409-8651
2885-6654	2885
2885	2885-6654
2885	2885-3479-3480-6464-6654
2885	5338
2885	2885-3479-3480-3667-6654
2885	5336
2885	1950-1956-2549-2885-5781
2885	867-2885-5781-10818
2885	2668-2674-2885-5979-85358
2885	2549-2885-5295-10818
2885	5786
2885	5295
2885	2549-2668-2674-2885-5979-6464
2885	613-2885-5295-9846
5781	2885
2885	5781
2885	613-2885-9846
2885	4582
2885	2885-5058
4486	2885
2885	4486
2885	1027
2885	2885-3815-4254-6654
2885	2885-3937-5335-7462
2885	4771
2885	2549-2885-6464-6654
2885	2549-2885
2885	284-2885-7010
2885	6774
2885	58480
2885	2885-20662
2885	2885-3082-4233-6464-6654
2885	10451
2885	2885-3815-4254-5781-9846
2885	1950-1956-2885
2885	1950-1956-2885-6464-6654
2885	4214
2885	2185-2885-6654-6714
2885	867-1950-1956-2885
2885	154
2885	2047-2885-6464-6714
2885	1759
2885	2885-5747-6654
2885	2885-5781
2885	5564
2885	2263
2885	7409
2885	2885-3082-4233-6654
2885	2885-6464-6654-7462
2885	2885-5290-5295-5781-6654
2885	1785-2885-9732
2885	867-1950-1956-2885-6456-30011
2885	2549-2885-3082-4233-5781
3064	2885
2885	3064
2885	2885-5777
2885	867-2885
2885	2885-4803-4804-6464-6654
2885	2885-64762
2885	2885-8976
2885	6654
2885	2885-6464-6654
2885	2549-2885-5781-6383-10818
2549	2885
2885	2549
2885	8651
2885	2549-2885-3082-4233
2885	2885-5781-6654
2885	2668-2674-2885-5979-6464-6654
2885	3937
2885	5058
2885	1950-1956-2549-2885
2885	10000_207_208
8528	5830
6511	8528
8528	6511
8528	10920_10980_10987_2873_50813_51138_64708_8533_9318
6507	8528
8528	6507
6505	8528
8528	6505
2806	5062
2806	5091
2806	3939
2806	5564_5565
11316_1314_1315_22818_22820_26958_372_51226_9276	2806
2806	11316_1314_1315_22818_22820_26958_372_51226_9276
2806	80145
