from	to
IRF1	SLC1A2/EAAT2|SLC1A2
MAGI-1(BAIAP1)|MAGI1	SLC1A2/EAAT2|SLC1A2
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	SLC1A2/EAAT2|SLC1A2
SOD1	SLC1A2/EAAT2|SLC1A2
N-Myc|MYCN	SLC1A2/EAAT2|SLC1A2
PPAR-alpha/LXR-alpha|PPARA|PPAR-alpha/RXR-alpha|PPARA|PPAR-alpha|PPARA	SLC1A2/EAAT2|SLC1A2
Ajuba|AJUBA	SLC1A2/EAAT2|SLC1A2
NF-kB p50/RelB|NFKB1|NF-kB p50/c-Rel|NFKB1|NF-kB p50/p50|NFKB1|NF-kB p50/p65|NFKB1|NF-kB1 (p105)|NFKB1|NF-kB1 (p50)|NFKB1|NF-kB|NFKB1	SLC1A2/EAAT2|SLC1A2
ESR1 (membrane)|ESR1|ESR1 (mitochondrial)|ESR1|ESR1 (nuclear)|ESR1|ESR|ESR1	SLC1A2/EAAT2|SLC1A2
CBP|CREBBP	SLC1A2/EAAT2|SLC1A2
YY1	SLC1A2/EAAT2|SLC1A2
PSD-95|DLG4	SLC1A2/EAAT2|SLC1A2
E2F4/DP1 complex|E2F4|E2F4	SLC1A2/EAAT2|SLC1A2
TCF7L2 (TCF4)|TCF7L2|Tcf(Lef)|TCF7L2	SLC1A2/EAAT2|SLC1A2
