from	to
SLC1A2/EAAT2|SLC1A2	GRB2
OXDD|DDO	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	OXDD|DDO
AATM|GOT2	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	AATM|GOT2
AATC|GOT1	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	AATC|GOT1
GRB2	2885-6464-9846
GRB2	ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3
GAB2|Gab|GAB2	GRB2
GRB2	GAB2|Gab|GAB2
GRB2	2066-2885-3084-6464
GRB2	2885-3688-6464-6654
GRB2	2885-6464
GRB2	Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2
GRB2	Dynamin-2|DNM2|Dynamin|DNM2
GRB2	2885-6654-9846
GRB2	C3G|RAPGEF1
GRB2	2885-3479-3480-3667-6464-6654-10399
GRB2	RGS3
GRB2	SOS1|SOS|SOS1
GRB2	2885-6655
GRB2	2885-7409-8651
2885-6654	GRB2
GRB2	2885-6654
GRB2	2885-3479-3480-6464-6654
GRB2	2885-3479-3480-3667-6654
GRB2	1950-1956-2549-2885-5781
GRB2	867-2885-5781-10818
GRB2	2668-2674-2885-5979-85358
GRB2	2549-2885-5295-10818
GRB2	2549-2668-2674-2885-5979-6464
GRB2	p27KIP1|CDKN1B
GRB2	613-2885-5295-9846
GRB2	613-2885-9846
GRB2	2885-5058
GRB2	VAV-1|VAV1
GRB2	MUC1-CT|MUC1|MUC1-NT|MUC1|MUC1
GRB2	AKT(PKB)|AKT3|AKT3|AKT(PKB)|AKT1|AKT1|AKT(PKB)|AKT2|AKT2
GRB2	SOS1|SOS|SOS1|SOS2|SOS|SOS2
GRB2	c-Cbl|CBL
PP2C|PTPN11|SHP-2|PTPN11	GRB2
GRB2	PP2C|PTPN11|SHP-2|PTPN11
GRB2	PLD2
GRB2	SGEF|ARHGEF26
GRB2	2885-3815-4254-6654
GRB2	2885-3937-5335-7462
MSP receptor (RON)|MST1R	GRB2
GRB2	MSP receptor (RON)|MST1R
PP2C|PPM1L|PPM1L|PP2C|PPTC7|PPTC7|PDP1|PP2C|PDP1|PP2C alpha|PPM1A|PP2C|PPM1A|PP2C beta|PPM1B|PP2C|PPM1B|PP2C gamma|PPM1G|PP2C|PPM1G|PP2C|PTPN11|SHP-2|PTPN11|PP2C|PPM1D|WIP1|PPM1D|PP2C|PPM1F|PPM1F	GRB2
GRB2	PP2C|PPM1L|PPM1L|PP2C|PPTC7|PPTC7|PDP1|PP2C|PDP1|PP2C alpha|PPM1A|PP2C|PPM1A|PP2C beta|PPM1B|PP2C|PPM1B|PP2C gamma|PPM1G|PP2C|PPM1G|PP2C|PTPN11|SHP-2|PTPN11|PP2C|PPM1D|WIP1|PPM1D|PP2C|PPM1F|PPM1F
GRB2	2549-2885-6464-6654
GRB2	2549-2885
GRB2	MEKK1(MAP3K1)|MAP3K1
GRB2	284-2885-7010
