from	to
3306	22933
3306	3092
3306	84640
3306	54780
3306	10362
3306	84081
3306	54925
3306	8495
3306	79726
3306	7705
3306	55227
3306	84909
3306	55144
3092	55847
3092	28984
84640	55783
10362	4076
84081	6788
84081	6651
8495	9679
8495	63895
8495	4047
55227	51389
28984	64093
6788	55529
6788	23467
6788	5277
6788	2059
6788	6760
6788	644935
6651	55214
9679	274
9679	63027
9679	22982
63895	58526
4047	79726
64093	30812
64093	3157
23467	729776
5277	146378
2059	51014
6760	8434
644935	84926
55214	10274
22982	22905
58526	5027
58526	28514
58526	29128
58526	6457
30812	10435
30812	11322
30812	285971
30812	27345
30812	1717
30812	29763
30812	83641
3157	649679
3157	6307
3157	58476
729776	4952
729776	3930
729776	64342
729776	644615
146378	388228
146378	55084
146378	339344
146378	10712
51014	64805
51014	54464
8434	85360
84926	23217
84926	222865
5027	2171
5027	10664
5027	894
28514	1398
28514	4038
29128	6446
11322	27106
11322	57580
11322	55114
11322	644590
285971	55216
1717	4082
29763	9770
83641	134549
83641	3927
83641	643287
83641	79668
83641	200942
6307	28966
58476	131870
4952	7403
4952	23352
3930	80314
3930	83660
3930	22875
3930	84954
64342	93611
644615	440160
388228	4613
388228	9651
339344	4267
339344	285368
339344	9378
339344	4008
64805	1524
54464	8697
85360	9741
222865	113457
222865	84968
222865	6585
222865	9760
2171	2852
2171	64411
2171	55818
2171	5627
10664	80344
894	28512
894	114789
894	5584
27106	389289
57580	80303
55216	55320
9770	83543
9770	6535
9770	85315
9770	54800
643287	3275
79668	653496
79668	3516
131870	64093
131870	1059
7403	79948
23352	10970
23352	5428
83660	10554
22875	63979
22875	360023
22875	64398
93611	64118
440160	2037
4613	905
4613	149420
4613	23417
4267	8775
4008	1121
1524	6281
113457	644
113457	7082
113457	200030
84968	3685
6585	5650
9760	10479
2852	6539
2852	5159
55818	9895
55818	2185
5627	715
5627	9314
28512	6432
28512	29087
114789	6515
114789	9585
114789	5920
114789	80199
389289	646531
80303	6446
83543	439949
83543	348995
83543	100
83543	161742
83543	6760
85315	200895
85315	27147
54800	80095
3275	4221
3516	11183
3516	5469
3516	284695
3516	29057
1059	440704
1059	57526
10554	149603
10554	6327
360023	22993
149420	11122
8775	131616
8775	6560
1121	283078
1121	145773
6281	1602
6281	10423
6281	6096
6281	158747
6281	730525
644	1942
5650	80309
5159	90952
5159	85456
9895	1650
9895	10869
2185	51300
2185	79095
715	716
9314	10365
9314	1316
6432	6419
6432	10717
5920	10507
5920	1376
5920	1837
646531	83877
646531	8540
439949	54076
439949	360023
200895	5947
200895	81605
200895	256586
200895	731950
27147	55502
11183	1462
284695	159195
29057	1294
440704	26279
440704	80224
440704	92126
57526	26471
145773	23236
10423	55092
6096	10087
6096	51060
158747	3320
158747	5629
1942	3621
1942	8460
90952	51176
90952	28514
85456	339122
10869	3141
716	5396
716	10791
716	710
716	6281
10365	4330
1316	56894
1316	124790
1316	478
10507	84525
1376	116173
8540	23212
8540	6817
81605	5564
81605	55914
81605	10067
55502	6319
159195	147929
159195	3759
159195	8537
1294	2800
26279	221322
26279	7813
80224	643882
92126	11311
26471	84329
23236	4139
55092	63897
10087	114882
3320	7127
3320	65125
3320	8777
3320	170463
5629	988
5629	404093
3621	3313
8460	5920
8460	23102
8460	9413
8460	2171
8460	66008
8460	2745
8460	5880
8460	54915
8460	444
51176	1901
51176	3915
5396	6840
10791	23116
710	8233
710	63027
710	7076
124790	158234
478	57468
478	51400
84525	10212
116173	392
116173	199692
116173	51673
116173	340371
6817	10052
6817	29883
55914	91304
55914	203068
55914	119392
147929	1182
3759	134549
3759	79628
3759	57695
7813	8936
84329	50856
84329	26353
4139	51028
4139	22854
4139	4862
4139	1008
114882	134728
114882	57466
114882	387119
114882	91801
114882	9776
114882	9530
114882	3622
114882	23299
114882	7357
114882	57551
7127	2273
65125	90441
65125	22998
65125	5781
988	23029
404093	55670
23102	10973
23102	2224
23102	55727
66008	5781
2745	112398
5880	6503
5880	8337
54915	27327
1901	23499
6840	57134
6840	83667
6840	133
6840	7431
7076	55062
7076	25805
10212	54407
10212	22808
51673	9516
51673	51659
10052	387700
119392	4174
119392	51324
119392	57461
119392	51096
119392	4793
119392	1069
119392	4430
79628	56945
79628	84932
79628	5018
79628	206358
79628	80829
79628	5137
8936	23335
8936	5831
50856	4292
50856	81890
51028	31
4862	57685
1008	131034
91801	26146
9530	2932
3622	9166
23299	122830
23299	55244
57551	54883
57551	9360
57551	2932
57551	7978
57551	55149
57551	57532
57551	9926
57551	10000
57551	8774
2273	55333
22998	84915
5781	2107
5781	2592
10973	133686
10973	7189
10973	652730
10973	23306
55727	79600
55727	58508
55727	403341
6503	83706
8337	8338
27327	64779
57134	79157
57134	7988
133	123
25805	10161
25805	23400
25805	3397
54407	8326
54407	56654
22808	26232
22808	3654
22808	6665
9516	84886
9516	57473
9516	5216
9516	282809
9516	64137
9516	3706
51659	1650
4174	9858
51096	10282
4430	220988
23335	164832
23335	2743
23335	9472
4292	8637
4292	84798
4292	81887
57685	202151
131034	25827
131034	4978
2932	1912
2932	25962
2932	326624
9166	90843
122830	4191
55244	652
55244	9871
55244	644029
55244	11329
55244	4967
55244	824
55244	5066
54883	5526
9360	23001
9360	153443
9360	29083
9360	55582
9360	7155
7978	8871
55149	133522
55149	54883
57532	25909
57532	54434
57532	116984
57532	3267
57532	23071
57532	10199
57532	54982
57532	667
57532	4719
57532	158358
10000	114609
8774	57038
8774	54811
55333	57187
55333	27250
55333	55156
55333	84248
55333	55726
55333	22823
55333	58499
55333	6996
84915	55902
652730	55290
652730	23394
652730	3482
23306	23279
403341	79717
403341	51621
8338	285282
64779	7128
64779	27309
64779	64343
79157	29901
79157	84061
79157	51164
10161	6480
10161	5336
23400	3159
8326	150946
8326	10206
8326	5763
8326	7430
26232	3316
84886	11145
84886	51133
84886	3065
84886	780
84886	8546
57473	7322
64137	55565
64137	10612
64137	56666
3706	784
9858	10439
9472	10015
9472	125476
9472	388753
9472	1558
8637	6130
84798	2010
81887	790
4978	7286
4978	81631
4978	3032
4978	1010
25962	9553
25962	9728
90843	25759
4191	10540
652	115353
652	203447
652	55166
652	7851
652	54440
9871	51058
11329	2139
4967	5494
153443	9014
153443	22878
153443	11264
153443	9166
55582	4087
7155	6430
8871	26046
133522	125228
25909	1608
25909	84295
25909	23126
54434	7182
116984	9147
116984	3516
3267	51495
3267	389856
3267	7182
23071	10651
10199	55003
10199	9527
10199	60412
667	23350
667	64395
667	55186
158358	4594
158358	116987
57038	10236
54811	2287
57187	3586
57187	257415
57187	57001
57187	54811
84248	134728
84248	3066
84248	3239
55726	10771
55726	55602
23394	8824
23279	9943
23279	1655
79717	10319
51621	9781
29901	90826
51164	83880
150946	79228
150946	6650
10206	80205
10206	51130
10206	8405
7430	3636
7430	7466
3316	51522
11145	2123
51133	51542
780	4174
780	1312
780	114902
780	778
8546	7123
55565	729446
55565	830
55565	5871
784	63982
2010	5549
7286	5027
7286	80007
3032	127687
3032	51287
3032	345557
3032	56674
1010	84456
1010	57084
9728	114299
9728	6917
51058	6201
2139	9445
26046	91404
1608	4087
23126	64895
9147	51265
9147	55285
389856	301
9527	79612
9527	9499
23350	81608
23350	9815
23350	23160
55186	9147
55186	9344
116987	51265
116987	284695
2287	5128
57001	3122
57001	83941
55602	374875
8824	10269
9943	5934
1655	11186
1655	11267
9781	55291
9781	1876
79228	9968
79228	23649
80205	2971
80205	10422
80205	22849
3636	159090
7466	653381
51542	4722
114902	5950
114902	8877
114902	63893
778	4713
7123	83716
7123	112464
7123	9913
830	27020
63982	1063
127687	10826
127687	55004
345557	9055
114299	51621
6917	26160
6917	51263
6917	93185
6917	646200
6917	8487
9445	8895
91404	284695
91404	6733
64895	55288
301	1196
301	139818
301	4720
301	10513
301	6281
79612	116151
9499	8409
9499	4792
9499	200150
5128	8834
3122	7305
83941	652864
83941	902
374875	8458
374875	23461
374875	23542
5934	54880
5934	64083
5934	5396
5934	3295
5934	84068
11267	8915
1876	7541
23649	2584
2971	56940
22849	139285
159090	23157
159090	81035
159090	51105
159090	1441
653381	1303
653381	91
4722	4728
5950	219
8877	51373
8877	11260
8877	3146
8877	6205
4713	10170
112464	79671
112464	389125
27020	10294
27020	84678
10826	8324
10826	1201
55004	51734
55004	728653
9055	5550
9055	6627
8895	9960
8895	401397
8895	26269
55288	6199
55288	8859
139818	1824
4720	666
8409	552900
8409	3068
8409	10899
4792	22889
4792	64651
4792	29128
4792	7704
200150	929
7305	811
7305	80896
7305	29108
7305	58191
7305	9450
652864	55827
8458	402694
54880	9310
54880	23774
64083	2803
3295	1793
3295	55251
7541	158763
7541	84844
2584	9961
2584	4000
2584	7432
23157	85300
81035	10903
51105	7371
1303	94240
91	375484
91	8886
91	56254
4728	10961
219	94107
219	51196
219	79979
219	10280
219	7629
219	10066
219	9275
219	6449
219	953
219	9242
219	6629
219	6474
3146	160418
6205	643949
6205	646766
6205	441876
79671	7410
10294	54793
10294	9897
8324	6608
8324	51182
8324	55094
1201	478
5550	11278
5550	23335
6627	10001
9960	60481
9960	64855
9960	55092
401397	90865
666	4144
552900	10169
3068	91582
10899	9538
64651	81575
64651	29940
64651	2969
7704	1831
7704	90865
929	3055
929	3659
80896	55745
80896	201158
29108	81622
29108	393
29108	341
29108	375387
58191	11309
58191	58475
9450	51284
9450	55843
55827	57835
9310	2354
23774	57658
23774	4297
55251	730358
9961	8519
9961	90557
7432	143162
7432	1690
94240	4939
94240	4940
94240	6310
375484	55625
8886	54726
8886	9962
10961	89796
94107	643949
94107	10574
51196	5173
10280	83986
7629	64332
6474	64802
6474	27107
6474	401236
6474	6189
6474	3017
646766	441246
441876	440589
441876	6188
441876	55128
441876	642250
54793	10928
9897	57486
9897	8440
51182	5265
11278	63876
11278	79643
10001	27248
64855	203547
90865	55565
90865	9513
90865	55163
90865	4200
10169	83442
9538	79088
9538	6322
9538	51700
81575	9213
81575	64283
29940	64332
29940	113451
3055	2210
11309	10161
11309	123920
51284	387882
51284	4066
51284	139818
51284	4082
57835	84515
57835	196
57835	401494
57835	8740
2354	9023
8519	23643
8519	7076
8519	633
143162	4856
143162	5475
1690	2794
6310	151473
54726	92935
54726	7296
54726	23215
54726	83696
89796	84669
89796	8045
10574	55851
5173	166336
83986	5864
83986	29904
27107	23516
27107	22835
3017	10219
3017	8365
3017	90121
440589	25855
440589	400963
440589	91561
6188	3423
6188	440927
10928	10905
5265	1837
5265	150677
5265	241
5265	134147
63876	23492
63876	79979
63876	23355
63876	9677
79643	23130
79643	5859
79643	23020
27248	23673
27248	54737
