pathway	external_id	source	pvalue	fdr
1	Immune System	R-HSA-168256	Reactome	1.45781269114987e-11	6.6913602523779e-08
2	Neutrophil degranulation	R-HSA-6798695	Reactome	3.83424267478065e-11	8.79958693862158e-08
3	Microglia Pathogen Phagocytosis Pathway	WP3937	Wikipathways	1.26523526188443e-10	1.7219531240216e-07
4	Innate Immune System	R-HSA-168249	Reactome	1.50061274424541e-10	1.7219531240216e-07
5	Complement and coagulation cascades	path:hsa04610	KEGG	4.34940665944172e-07	0.00039927553133675
6	classical complement pathway	classicpathway	BioCarta	2.55123754627485e-06	0.00195169672290026
7	Staphylococcus aureus infection	path:hsa05150	KEGG	4.00747461341789e-06	0.00262775835365544
8	Complement and Coagulation Cascades	WP558	Wikipathways	5.31890057084007e-06	0.00290245990435484
9	Dengue-2 Interactions with Complement and Coagulation Cascades	WP3896	Wikipathways	5.69109785167616e-06	0.00290245990435484
10	Acute myeloid leukemia	path:hsa05221	KEGG	8.34321485338787e-06	0.00382953561770503
11	Complement Activation	WP545	Wikipathways	1.06796152709008e-05	0.00445631219031224
12	Pertussis	path:hsa05133	KEGG	1.46519092300824e-05	0.0056043552805065
13	Prion diseases	path:hsa05020	KEGG	4.46116179261097e-05	0.0153599038861726
14	Chagas disease (American trypanosomiasis)	path:hsa05142	KEGG	4.68493800449708e-05	0.0153599038861726
15	Adaptive Immune System	R-HSA-1280218	Reactome	5.91637870990662e-05	0.0179707082604759
16	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	R-HSA-198933	Reactome	6.26429917576501e-05	0.0179707082604759
17	Oxidative Damage	WP3941	Wikipathways	6.68979348952567e-05	0.0180624424217193
18	ApoE and miR-146 in inflammation and atherosclerosis	WP3926	Wikipathways	0.000107006168127938	0.0272865728726241
19	Macrophage markers	WP4146	Wikipathways	0.000137410024534978	0.0331953690850289
20	Regulation of TLR by endogenous ligand	R-HSA-5686938	Reactome	0.000454103202858964	0.10170494535917
21	Transcriptional misregulation in cancer	path:hsa05202	KEGG	0.000465316743473328	0.10170494535917
22	LTF danger signal response pathway	WP4478	Wikipathways	0.000644712722676475	0.134510518049319
