pathway	external_id	source	pvalue	fdr
1	COPII-mediated vesicle transport	R-HSA-204005	Reactome	7.63772763649387e-05	0.350571698515069
2	Membrane Trafficking	R-HSA-199991	Reactome	0.000516692499968545	0.715454699862303
3	ER to Golgi Anterograde Transport	R-HSA-199977	Reactome	0.000593126272761334	0.715454699862303
4	Vesicle-mediated transport	R-HSA-5653656	Reactome	0.00068998460178503	0.715454699862303
5	Cargo concentration in the ER	R-HSA-5694530	Reactome	0.000779362418150657	0.715454699862303
6	Transport to the Golgi and subsequent modification	R-HSA-948021	Reactome	0.00106855609409103	0.817445411979642
7	Sterol Regulatory Element-Binding Proteins (SREBP) signalling	WP1982	Wikipathways	0.00308841522441551	1
8	Clathrin derived vesicle budding	R-HSA-421837	Reactome	0.00345539093978276	1
9	trans-Golgi Network Vesicle Budding	R-HSA-199992	Reactome	0.00345539093978276	1
10	Asparagine N-linked glycosylation	R-HSA-446203	Reactome	0.00477729223743969	1
11	Metabolism of lipids	R-HSA-556833	Reactome	0.00731804736415013	1
12	NS1 Mediated Effects on Host Pathways	R-HSA-168276	Reactome	0.0122495896234239	1
13	role of ran in mitotic spindle regulation	ranmspathway	BioCarta	0.013466780517295	1
14	Non-alcoholic fatty liver disease (NAFLD)	path:hsa04932	KEGG	0.0141062049238855	1
15	Host Interactions with Influenza Factors	R-HSA-168253	Reactome	0.0146825651211403	1
16	mechanism of protein import into the nucleus	npcpathway	BioCarta	0.0146825651211403	1
17	Nonalcoholic fatty liver disease	WP4396	Wikipathways	0.015203782301032	1
18	Activation of DNA fragmentation factor	R-HSA-211227	Reactome	0.0158969449515253	1
19	Apoptosis induced DNA fragmentation	R-HSA-140342	Reactome	0.0158969449515253	1
20	Axon guidance	path:hsa04360	KEGG	0.0191196346706248	1
21	CRMPs in Sema3A signaling	R-HSA-399956	Reactome	0.0195316709448081	1
22	Intra-Golgi and retrograde Golgi-to-ER traffic	R-HSA-6811442	Reactome	0.0214370562007853	1
23	Regulation of signaling by CBL	R-HSA-912631	Reactome	0.0219478254751272	1
24	Overview of nanoparticle effects	WP3287	Wikipathways	0.0231538084276856	1
25	Olfactory bulb development and olfactory learning	WP3609	Wikipathways	0.0243583971802988	1
26	Regulation of cytoplasmic and nuclear SMAD2/3 signaling	smad2_3pathway	PID	0.0243583971802988	1
27	Metabolism of proteins	R-HSA-392499	Reactome	0.0263978941541978	1
28	Phosphatidylinositol Phosphate Metabolism	SMP00463	SMPDB	0.027963813275481	1
29	Joubert syndrome	SMP00582	SMPDB	0.027963813275481	1
30	Synthesis of very long-chain fatty acyl-CoAs	R-HSA-75876	Reactome	0.029162840257795	1
31	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	R-HSA-983170	Reactome	0.029162840257795	1
32	Relationship between inflammation, COX-2 and EGFR	WP4483	Wikipathways	0.0303604805473767	1
33	Biosynthesis of unsaturated fatty acids	path:hsa01040	KEGG	0.0327516070345675	1
34	Sorafenib Pharmacodynamics	PA165959584	PharmGKB	0.0327516070345675	1
35	Interleukin receptor SHC signaling	R-HSA-912526	Reactome	0.0327516070345675	1
36	Anti-diabetic Drug Potassium Channel Inhibitors Pathway, Pharmacodynamics	PA153627758	PharmGKB	0.0339450962215381	1
37	Recycling pathway of L1	R-HSA-437239	Reactome	0.0339450962215381	1
38	3-phosphoinositide biosynthesis	PWY-6352	HumanCyc	0.0339450962215381	1
39	Fatty acid elongation	path:hsa00062	KEGG	0.036327933944397	1
40	Transport of Ribonucleoproteins into the Host Nucleus	R-HSA-168271	Reactome	0.036327933944397	1
41	Regulation of cholesterol biosynthesis by SREBP (SREBF)	R-HSA-1655829	Reactome	0.0375172854606642	1
42	Resistin as a regulator of inflammation	WP4481	Wikipathways	0.0398918612426163	1
43	Nuclear import of Rev protein	R-HSA-180746	Reactome	0.0410770884797214	1
44	Lysosome Vesicle Biogenesis	R-HSA-432720	Reactome	0.0422609439260427	1
45	HGF	None	INOH	0.0422609439260427	1
46	IGF signaling	None	INOH	0.0434434290635674	1
47	Aldosterone-regulated sodium reabsorption	path:hsa04960	KEGG	0.0446245453727957	1
48	Interactions of Rev with host cellular proteins	R-HSA-177243	Reactome	0.0446245453727957	1
49	G13 Signaling Pathway	WP524	Wikipathways	0.0458042943327432	1
50	Fatty acyl-CoA biosynthesis	R-HSA-75105	Reactome	0.0458042943327432	1
51	Signaling events mediated by TCPTP	tcptp_pathway	PID	0.0458042943327432	1
52	Interleukin-2 family signaling	R-HSA-451927	Reactome	0.0458042943327432	1
53	Microglia Pathogen Phagocytosis Pathway	WP3937	Wikipathways	0.0481596961134341	1
54	Inositol phosphate metabolism	None	INOH	0.0493353518847933	1
55	Carbohydrate digestion and absorption	path:hsa04973	KEGG	0.0528541563955366	1
56	Interleukin-3, 5 and GM-CSF signaling	R-HSA-512988	Reactome	0.0528541563955366	1
57	PDGF	None	INOH	0.0540243751984461	1
58	Type II diabetes mellitus	path:hsa04930	KEGG	0.0551932384308823	1
59	Regulation of Microtubule Cytoskeleton	WP2038	Wikipathways	0.0551932384308823	1
60	Glycosphingolipid metabolism	R-HSA-1660662	Reactome	0.0551932384308823	1
61	G beta:gamma signalling through PI3Kgamma	R-HSA-392451	Reactome	0.0575269040457002	1
62	IL-3 Signaling Pathway	WP286	Wikipathways	0.0586917093550826	1
63	Retrograde transport at the Trans-Golgi-Network	R-HSA-6811440	Reactome	0.0586917093550826	1
64	Synaptic Vesicle Pathway	WP2267	Wikipathways	0.0610172722842821	1
65	IL3	Pathway_IL3	NetPath	0.0610172722842821	1
66	G-protein beta:gamma signalling	R-HSA-397795	Reactome	0.0610172722842821	1
67	Apoptotic execution phase	R-HSA-75153	Reactome	0.0621780328222912	1
68	Cardiac Progenitor Differentiation	WP2406	Wikipathways	0.0633374480189254	1
69	Influenza Life Cycle	R-HSA-168255	Reactome	0.0633374480189254	1
70	Synthesis of PIPs at the plasma membrane	R-HSA-1660499	Reactome	0.0633374480189254	1
71	Regulation of lipolysis in adipocytes	path:hsa04923	KEGG	0.0644955193296202	1
72	IL-4 Signaling Pathway	WP395	Wikipathways	0.0644955193296202	1
73	Interferon type I signaling pathways	WP585	Wikipathways	0.0644955193296202	1
74	Complex I biogenesis	R-HSA-6799198	Reactome	0.0656522482083473	1
75	Golgi Associated Vesicle Biogenesis	R-HSA-432722	Reactome	0.0668076361076178	1
76	Role of Calcineurin-dependent NFAT signaling in lymphocytes	nfat_3pathway	PID	0.0668076361076178	1
