pathway	external_id	source	pvalue	fdr
1	Antigen processing: Ubiquitination & Proteasome degradation	R-HSA-983168	Reactome	0.00301449444363531	1
2	Intra-Golgi and retrograde Golgi-to-ER traffic	R-HSA-6811442	Reactome	0.00521262550978454	1
3	Membrane Trafficking	R-HSA-199991	Reactome	0.00589046269980152	1
4	integrin signaling pathway	integrinpathway	BioCarta	0.00682701066362358	1
5	Class I MHC mediated antigen processing & presentation	R-HSA-983169	Reactome	0.00716832271001564	1
6	creatine biosynthesis	GLYCGREAT-PWY	HumanCyc	0.00752801134758174	1
7	Vesicle-mediated transport	R-HSA-5653656	Reactome	0.00824050333033978	1
8	miR-targeted genes in lymphocytes - TarBase	WP2004	Wikipathways	0.00977245718128527	1
9	DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM	WP3959	Wikipathways	0.0112711707875421	1
10	Retrograde transport at the Trans-Golgi-Network	R-HSA-6811440	Reactome	0.0146347776805056	1
11	miR-targeted genes in muscle cell - TarBase	WP2005	Wikipathways	0.0169323597414832	1
12	Pyruvate Carboxylase Deficiency	SMP00350	SMPDB	0.0187160482944234	1
13	Primary Hyperoxaluria Type I	SMP00352	SMPDB	0.0187160482944234	1
14	Lactic Acidemia	SMP00313	SMPDB	0.0187160482944234	1
15	Alanine Metabolism	SMP00055	SMPDB	0.0187160482944234	1
16	miR-517 relationship with ARCN1 and USP1	WP3596	Wikipathways	0.0187160482944234	1
17	miR-targeted genes in leukocytes - TarBase	WP2003	Wikipathways	0.0202089285658476	1
18	miR-targeted genes in squamous cell - TarBase	WP2006	Wikipathways	0.0216092382994332	1
19	Signaling by MET	R-HSA-6806834	Reactome	0.0221315270792032	1
20	Synthesis of wybutosine at G37 of tRNA(Phe)	R-HSA-6782861	Reactome	0.022417866266059	1
21	Proton-coupled monocarboxylate transport	R-HSA-433692	Reactome	0.022417866266059	1
22	Lipid particle organization	R-HSA-8964572	Reactome	0.022417866266059	1
23	coenzyme A biosynthesis	COA-PWY-1	HumanCyc	0.0261060033582184	1
24	Coenzyme A biosynthesis	R-HSA-196783	Reactome	0.0297805090820531	1
25	Sema4D mediated inhibition of cell attachment and migration	R-HSA-416550	Reactome	0.0297805090820531	1
26	Androgen Receptor Network in Prostate Cancer	WP2263	Wikipathways	0.0301142232992017	1
27	Metabolism of proteins	R-HSA-392499	Reactome	0.030778982384151	1
28	ATR Signaling	WP3875	Wikipathways	0.0334414327733347	1
29	MET activates RAP1 and RAC1	R-HSA-8875555	Reactome	0.0334414327733347	1
30	Frs2-mediated activation	R-HSA-170968	Reactome	0.0334414327733347	1
31	SLBP independent Processing of Histone Pre-mRNAs	R-HSA-111367	Reactome	0.0370888235930581	1
32	Folding of actin by CCT/TriC	R-HSA-390450	Reactome	0.0370888235930581	1
33	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	met_pathway	PID	0.0373675323718397	1
34	COPI-mediated anterograde transport	R-HSA-6807878	Reactome	0.0390621626191156	1
35	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	R-HSA-77588	Reactome	0.0407227305280502	1
36	Prolonged ERK activation events	R-HSA-169893	Reactome	0.0407227305280502	1
37	Creatine metabolism	R-HSA-71288	Reactome	0.0407227305280502	1
38	Mitochondrial translation initiation	R-HSA-5368286	Reactome	0.0434243570015822	1
39	Mitochondrial translation elongation	R-HSA-5389840	Reactome	0.0434243570015822	1
40	Mitochondrial translation termination	R-HSA-5419276	Reactome	0.0434243570015822	1
41	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	R-HSA-3134963	Reactome	0.047950287823927	1
42	Regulation of TP53 Activity through Phosphorylation	R-HSA-6804756	Reactome	0.0479596812003514	1
43	Phosphatidylinositol phosphate metabolism	Phosphatidylinositol phosphate metabolism	EHMN	0.0479596812003514	1
44	Mitochondrial translation	R-HSA-5368287	Reactome	0.048886838582783	1
45	Bile salt and organic anion SLC transporters	R-HSA-425471	Reactome	0.0515440352930459	1
46	Vitamin B5 (pantothenate) metabolism	R-HSA-199220	Reactome	0.0515440352930459	1
47	Golgi Cisternae Pericentriolar Stack Reorganization	R-HSA-162658	Reactome	0.0515440352930459	1
48	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	R-HSA-8849471	Reactome	0.0515440352930459	1
49	JNK signaling in the CD4+ TCR pathway	tcrjnkpathway	PID	0.0515440352930459	1
50	Adaptive Immune System	R-HSA-1280218	Reactome	0.0546760541411182	1
51	mRNA decay by 5, to 3, exoribonuclease	R-HSA-430039	Reactome	0.055124493095098	1
52	Protein folding	R-HSA-391251	Reactome	0.0575190656499925	1
53	Regulation of pyruvate dehydrogenase (PDH) complex	R-HSA-204174	Reactome	0.0586917093550827	1
54	chromatin remodeling by hswi/snf atp-dependent complexes	hswisnfpathway	BioCarta	0.0586917093550827	1
55	Glycosphingolipid biosynthesis - neolactoseries	Glycosphingolipid biosynthesis - neolactoseries	EHMN	0.0586917093550827	1
56	SREBF and miR33 in cholesterol and lipid homeostasis	WP2011	Wikipathways	0.0657866088965474	1
57	Synthesis of glycosylphosphatidylinositol (GPI)	R-HSA-162710	Reactome	0.0657866088965474	1
58	EPHA2 forward signaling	epha2_fwdpathway	PID	0.0657866088965474	1
59	Glycosphingolipid biosynthesis - globoseries	Glycosphingolipid biosynthesis - globoseries	EHMN	0.0657866088965474	1
60	Regulation of signaling by CBL	R-HSA-912631	Reactome	0.0657866088965474	1
61	Nucleotide Excision Repair	R-HSA-5696398	Reactome	0.0676811568242869	1
62	Pantothenate and CoA biosynthesis	path:hsa00770	KEGG	0.0693143875775019	1
63	ATM Signaling Pathway	WP2516	Wikipathways	0.0693143875775019	1
64	Mitochondrial Gene Expression	WP391	Wikipathways	0.0693143875775019	1
65	Golgi-to-ER retrograde transport	R-HSA-8856688	Reactome	0.0708388802479168	1
66	Hyperornithinemia with gyrate atrophy (HOGA)	SMP00505	SMPDB	0.0728291155165154	1
67	Creatine deficiency, guanidinoacetate methyltransferase deficiency	SMP00504	SMPDB	0.0728291155165154	1
68	L-arginine:glycine amidinotransferase deficiency	SMP00507	SMPDB	0.0728291155165154	1
69	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	SMP00506	SMPDB	0.0728291155165154	1
70	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	SMP00188	SMPDB	0.0728291155165154	1
71	Prolinemia Type II	SMP00208	SMPDB	0.0728291155165154	1
72	Prolidase Deficiency (PD)	SMP00207	SMPDB	0.0728291155165154	1
73	Arginine and Proline Metabolism	SMP00020	SMPDB	0.0728291155165154	1
74	Hyperprolinemia Type I	SMP00361	SMPDB	0.0728291155165154	1
75	Hyperprolinemia Type II	SMP00360	SMPDB	0.0728291155165154	1
76	Ornithine Aminotransferase Deficiency (OAT Deficiency)	SMP00363	SMPDB	0.0728291155165154	1
77	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	SMP00362	SMPDB	0.0728291155165154	1
78	Urea cycle and metabolism of amino groups	WP497	Wikipathways	0.0728291155165154	1
79	Arf1 pathway	arf_3pathway	PID	0.0728291155165154	1
80	Neurotrophin signaling pathway	path:hsa04722	KEGG	0.0740443493024237	1
81	Downregulation of SMAD2/3:SMAD4 transcriptional activity	R-HSA-2173795	Reactome	0.0763308399915957	1
82	Negative regulation of MET activity	R-HSA-6807004	Reactome	0.0763308399915957	1
83	Glycosphingolipid biosynthesis - ganglioseries	Glycosphingolipid biosynthesis - ganglioseries	EHMN	0.0763308399915957	1
84	Wnt-beta-catenin Signaling Pathway in Leukemia	WP3658	Wikipathways	0.0798196081131108	1
85	PDGFR-alpha signaling pathway	pdgfrapathway	PID	0.0798196081131108	1
86	inhibition of cellular proliferation by gleevec	gleevecpathway	BioCarta	0.0798196081131108	1
87	role of brca1 brca2 and atr in cancer susceptibility	atrbrcapathway	BioCarta	0.0798196081131108	1
88	Pink/Parkin Mediated Mitophagy	R-HSA-5205685	Reactome	0.0798196081131108	1
89	mRNA Processing	WP411	Wikipathways	0.0828149252656782	1
90	PDGFR-beta signaling pathway	pdgfrbpathway	PID	0.0828149252656782	1
91	Protein export	path:hsa03060	KEGG	0.0832954668243701	1
92	RIP-mediated NFkB activation via ZBP1	R-HSA-1810476	Reactome	0.0832954668243701	1
93	Post-chaperonin tubulin folding pathway	R-HSA-389977	Reactome	0.0832954668243701	1
94	Butanoate metabolism	Butanoate metabolism	EHMN	0.0832954668243701	1
95	Sema4D in semaphorin signaling	R-HSA-400685	Reactome	0.0867584629022058	1
96	Cytosolic tRNA aminoacylation	R-HSA-379716	Reactome	0.0867584629022058	1
97	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	path:hsa00563	KEGG	0.0902086429575483	1
98	Alanine Aspartate Asparagine metabolism	None	INOH	0.0902086429575483	1
99	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	R-HSA-2173796	Reactome	0.0902086429575483	1
100	TRAF6 mediated NF-kB activation	R-HSA-933542	Reactome	0.0936460534360032	1
101	Formation of tubulin folding intermediates by CCT/TriC	R-HSA-389960	Reactome	0.0936460534360032	1
102	links between pyk2 and map kinases	pyk2pathway	BioCarta	0.0936460534360032	1
103	Vitamin B9 (folate) metabolism	Vitamin B9 (folate) metabolism	EHMN	0.0936460534360032	1
104	Insulin signaling pathway	path:hsa04910	KEGG	0.0942016981182967	1
105	ER to Golgi Anterograde Transport	R-HSA-199977	Reactome	0.0953645527697026	1
106	3-Phosphoglycerate dehydrogenase deficiency	SMP00721	SMPDB	0.0970707406184245	1
107	Non Ketotic Hyperglycinemia	SMP00223	SMPDB	0.0970707406184245	1
108	Glycine and Serine Metabolism	SMP00004	SMPDB	0.0970707406184245	1
109	Dimethylglycine Dehydrogenase Deficiency	SMP00484	SMPDB	0.0970707406184245	1
110	Hyperglycinemia, non-ketotic	SMP00485	SMPDB	0.0970707406184245	1
111	Dimethylglycine Dehydrogenase Deficiency	SMP00242	SMPDB	0.0970707406184245	1
112	Sarcosinemia	SMP00244	SMPDB	0.0970707406184245	1
113	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	SMP00179	SMPDB	0.0970707406184245	1
114	ZBP1(DAI) mediated induction of type I IFNs	R-HSA-1606322	Reactome	0.0970707406184245	1
115	Transcriptional activation of mitochondrial biogenesis	R-HSA-2151201	Reactome	0.0970707406184245	1
116	MET promotes cell motility	R-HSA-8875878	Reactome	0.0970707406184245	1
117	Late Phase of HIV Life Cycle	R-HSA-162599	Reactome	0.0988781647011308	1
118	Phototransduction	path:hsa04744	KEGG	0.100482750621486	1
119	Processing of Capped Intronless Pre-mRNA	R-HSA-75067	Reactome	0.100482750621486	1
120	Reelin signaling pathway	reelinpathway	PID	0.100482750621486	1
121	Prefoldin mediated transfer of substrate  to CCT/TriC	R-HSA-389957	Reactome	0.100482750621486	1
122	Signalling to ERKs	R-HSA-187687	Reactome	0.103882129398252	1
123	the information processing pathway at the ifn beta enhancer	pcafpathway	BioCarta	0.103882129398252	1
124	Transcriptional Regulation by MECP2	WP4453	Wikipathways	0.107268922738744	1
125	Phosphorylation of CD3 and TCR zeta chains	R-HSA-202427	Reactome	0.107268922738744	1
126	Budding and maturation of HIV virion	R-HSA-162588	Reactome	0.107268922738744	1
127	Pyruvate metabolism	R-HSA-70268	Reactome	0.107268922738744	1
128	Proteoglycan biosynthesis	Proteoglycan biosynthesis	EHMN	0.107268922738744	1
129	IGF1 pathway	igf1_pathway	PID	0.107268922738744	1
130	Mitophagy	R-HSA-5205647	Reactome	0.107268922738744	1
131	Downstream signal transduction	R-HSA-186763	Reactome	0.107268922738744	1
132	Translation	R-HSA-72766	Reactome	0.108980042064328	1
133	Tumor suppressor activity of SMARCB1	WP4204	Wikipathways	0.110643176270509	1
134	Ribosome	path:hsa03010	KEGG	0.113286446626858	1
135	Development and heterogeneity of the ILC family	WP3893	Wikipathways	0.11400493545918	1
136	Endosomal Sorting Complex Required For Transport (ESCRT)	R-HSA-917729	Reactome	0.11400493545918	1
137	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	R-HSA-445989	Reactome	0.11400493545918	1
138	HIV Life Cycle	R-HSA-162587	Reactome	0.114511150811872	1
139	DNA Repair	R-HSA-73894	Reactome	0.117002667632264	1
140	EPO signaling pathway	epopathway	PID	0.117354245609042	1
141	EPHA forward signaling	epha_fwdpathway	PID	0.117354245609042	1
142	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	R-HSA-389958	Reactome	0.117354245609042	1
143	SNARE interactions in vesicular transport	path:hsa04130	KEGG	0.120691151863586	1
144	Signaling of Hepatocyte Growth Factor Receptor	WP313	Wikipathways	0.120691151863586	1
145	Prostaglandin formation from arachidonate	Prostaglandin formation from arachidonate	EHMN	0.120691151863586	1
146	COPI-independent Golgi-to-ER retrograde traffic	R-HSA-6811436	Reactome	0.120691151863586	1
147	ATM pathway	atm_pathway	PID	0.120691151863586	1
148	Cellular senescence	path:hsa04218	KEGG	0.121931242757379	1
149	angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling	at1rpathway	BioCarta	0.124015699206077	1
150	HGF	None	INOH	0.124015699206077	1
151	Regulation of TP53 Activity	R-HSA-5633007	Reactome	0.124430985566958	1
152	GPCR Adenosine A2A receptor	None	INOH	0.127327932460102	1
153	miR-targeted genes in epithelium - TarBase	WP2002	Wikipathways	0.13029017595086	1
154	HDR through Single Strand Annealing (SSA)	R-HSA-5685938	Reactome	0.130627896290126	1
155	O-Glycan biosynthesis	O-Glycan biosynthesis	EHMN	0.130627896290126	1
156	ATR signaling pathway	atr_pathway	PID	0.130627896290126	1
157	Activation of ATR in response to replication stress	R-HSA-176187	Reactome	0.130627896290126	1
158	Transport to the Golgi and subsequent modification	R-HSA-948021	Reactome	0.133277554594725	1
159	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	R-HSA-2173793	Reactome	0.133915635202049	1
160	tRNA charging	TRNA-CHARGING-PWY	HumanCyc	0.133915635202049	1
161	Gene expression (Transcription)	R-HSA-74160	Reactome	0.136746256864713	1
162	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	R-HSA-8939243	Reactome	0.137191193543752	1
163	Association of TriC/CCT with target proteins during biosynthesis	R-HSA-390471	Reactome	0.137191193543752	1
164	Presynaptic phase of homologous DNA pairing and strand exchange	R-HSA-5693616	Reactome	0.137191193543752	1
165	The citric acid (TCA) cycle and respiratory electron transport	R-HSA-1428517	Reactome	0.138397050055707	1
166	Glycine, serine and threonine metabolism	path:hsa00260	KEGG	0.140454615505647	1
167	Metabolism of polyamines	R-HSA-351202	Reactome	0.140454615505647	1
168	Glycine Serine metabolism	None	INOH	0.143705945121227	1
169	mRNA Splicing - Major Pathway	R-HSA-72163	Reactome	0.144857590736052	1
170	IL-2 Signaling Pathway	WP49	Wikipathways	0.146945226267607	1
171	tRNA modification in the nucleus and cytosol	R-HSA-6782315	Reactome	0.146945226267607	1
172	tRNA Aminoacylation	R-HSA-379724	Reactome	0.146945226267607	1
173	IFN-gamma pathway	ifngpathway	PID	0.146945226267607	1
174	N-Glycan biosynthesis	N-Glycan biosynthesis	EHMN	0.146945226267607	1
175	Homologous DNA Pairing and Strand Exchange	R-HSA-5693579	Reactome	0.146945226267607	1
176	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	R-HSA-6814122	Reactome	0.15017250266607	1
177	Formation of Incision Complex in GG-NER	R-HSA-5696395	Reactome	0.15017250266607	1
178	Galactose metabolism	Galactose metabolism	EHMN	0.153387817882606	1
179	Interleukin-3, 5 and GM-CSF signaling	R-HSA-512988	Reactome	0.153387817882606	1
