pathway	external_id	source	pvalue	fdr
1	Intraflagellar transport	R-HSA-5620924	Reactome	0.000220703330974908	1
2	tRNA splicing	PWY-6689	HumanCyc	0.000521398867145056	1
3	dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	HumanCyc	0.00229099136143382	1
4	leucine degradation	LEU-DEG2-PWY	HumanCyc	0.00332827479861472	1
5	Vasopressin-regulated water reabsorption	path:hsa04962	KEGG	0.00403618989491526	1
6	Galactose metabolism	Galactose metabolism	EHMN	0.00403618989491526	1
7	Neddylation	R-HSA-8951664	Reactome	0.00733951659773638	1
8	Metabolism of proteins	R-HSA-392499	Reactome	0.00826354922836885	1
9	Arf1 pathway	arf_3pathway	PID	0.00922426665437169	1
10	Glycosphingolipid biosynthesis - ganglioseries	Glycosphingolipid biosynthesis - ganglioseries	EHMN	0.010147068571183	1
11	NOTCH2 Activation and Transmission of Signal to the Nucleus	R-HSA-2979096	Reactome	0.0111090644952527	1
12	Proteasome Degradation	WP183	Wikipathways	0.0114334475201768	1
13	AMPK signaling pathway	path:hsa04152	KEGG	0.011556334103704	1
14	DroToll-like	None	INOH	0.011924218443292	1
15	Cilium Assembly	R-HSA-5617833	Reactome	0.0119528574264334	1
16	Cytosolic sulfonation of small molecules	R-HSA-156584	Reactome	0.0142241503096957	1
17	RORA activates gene expression	WP3370	Wikipathways	0.0145692401756311	1
18	Glypican 2 network	glypican_2pathway	PID	0.0145692401756311	1
19	Proton-coupled neutral amino acid transporters	R-HSA-428559	Reactome	0.0145692401756311	1
20	Synthesis of dolichyl-phosphate-glucose	R-HSA-480985	Reactome	0.0145692401756311	1
21	diphthamide biosynthesis	PWY-6482	HumanCyc	0.0145692401756311	1
22	Nuclear signaling by ERBB4	R-HSA-1251985	Reactome	0.0153368893049207	1
23	3-Phosphoglycerate dehydrogenase deficiency	SMP00721	SMPDB	0.0164858386530132	1
24	Non Ketotic Hyperglycinemia	SMP00223	SMPDB	0.0164858386530132	1
25	Glycine and Serine Metabolism	SMP00004	SMPDB	0.0164858386530132	1
26	Dimethylglycine Dehydrogenase Deficiency	SMP00484	SMPDB	0.0164858386530132	1
27	Hyperglycinemia, non-ketotic	SMP00485	SMPDB	0.0164858386530132	1
28	Dimethylglycine Dehydrogenase Deficiency	SMP00242	SMPDB	0.0164858386530132	1
29	Sarcosinemia	SMP00244	SMPDB	0.0164858386530132	1
30	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	SMP00179	SMPDB	0.0164858386530132	1
31	Notch	None	INOH	0.0194074323559879	1
32	3-Methylglutaconic Aciduria Type I	SMP00139	SMPDB	0.0201442079643581	1
33	Valine, Leucine and Isoleucine Degradation	SMP00032	SMPDB	0.0201442079643581	1
34	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	SMP00137	SMPDB	0.0201442079643581	1
35	Isovaleric Aciduria	SMP00238	SMPDB	0.0201442079643581	1
36	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	SMP00237	SMPDB	0.0201442079643581	1
37	Propionic Acidemia	SMP00236	SMPDB	0.0201442079643581	1
38	Maple Syrup Urine Disease	SMP00199	SMPDB	0.0201442079643581	1
39	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	SMP00138	SMPDB	0.0201442079643581	1
40	Isobutyryl-coa dehydrogenase deficiency	SMP00523	SMPDB	0.0201442079643581	1
41	3-hydroxyisobutyric aciduria	SMP00522	SMPDB	0.0201442079643581	1
42	3-hydroxyisobutyric acid dehydrogenase deficiency	SMP00521	SMPDB	0.0201442079643581	1
43	Isovaleric acidemia	SMP00524	SMPDB	0.0201442079643581	1
44	Methylmalonate Semialdehyde Dehydrogenase Deficiency	SMP00384	SMPDB	0.0201442079643581	1
45	Methylmalonic Aciduria	SMP00200	SMPDB	0.0201442079643581	1
46	3-Methylglutaconic Aciduria Type IV	SMP00141	SMPDB	0.0201442079643581	1
47	3-Methylglutaconic Aciduria Type III	SMP00140	SMPDB	0.0201442079643581	1
48	Beta-Ketothiolase Deficiency	SMP00173	SMPDB	0.0201442079643581	1
49	Activation of BIM and translocation to mitochondria 	R-HSA-111446	Reactome	0.0217748992106767	1
50	Enzymatic degradation of dopamine by COMT	R-HSA-379397	Reactome	0.0217748992106767	1
51	UTP and CTP dephosphorylation I	PWY-7185	HumanCyc	0.0217748992106767	1
52	Valine Leucine Isoleucine degradation	None	INOH	0.0227537577667715	1
