pathway	external_id	source	pvalue	fdr
1	Alpha Linolenic Acid and Linoleic Acid Metabolism	SMP00018	SMPDB	4.47627463011701e-05	0.116126979058704
2	Ibuprofen Action Pathway	SMP00086	SMPDB	8.99340637393267e-05	0.116126979058704
3	Hydrolysis of LPC	R-HSA-1483115	Reactome	0.000163248060474423	0.116126979058704
4	Clathrin derived vesicle budding	R-HSA-421837	Reactome	0.000266795112797996	0.116126979058704
5	trans-Golgi Network Vesicle Budding	R-HSA-199992	Reactome	0.000266795112797996	0.116126979058704
6	Acyl chain remodelling of PG	R-HSA-1482925	Reactome	0.000503198276740947	0.116126979058704
7	Acyl chain remodelling of PS	R-HSA-1482801	Reactome	0.000741298771053499	0.116126979058704
8	alpha-Linolenic acid metabolism	path:hsa00592	KEGG	0.000877120165601848	0.116126979058704
9	Phospholipid Biosynthesis	SMP00025	SMPDB	0.00110160916376257	0.116126979058704
10	Acyl chain remodelling of PC	R-HSA-1482788	Reactome	0.00110160916376257	0.116126979058704
11	Linoleic acid metabolism	path:hsa00591	KEGG	0.00118193741386044	0.116126979058704
12	Etodolac Action Pathway	SMP00084	SMPDB	0.00126499977188131	0.116126979058704
13	Ketoprofen Action Pathway	SMP00085	SMPDB	0.00126499977188131	0.116126979058704
14	Rofecoxib Action Pathway	SMP00087	SMPDB	0.00126499977188131	0.116126979058704
15	Acetylsalicylic Acid Action Pathway	SMP00083	SMPDB	0.00126499977188131	0.116126979058704
16	Diflunisal Action Pathway	SMP00289	SMPDB	0.00126499977188131	0.116126979058704
17	Leukotriene C4 Synthesis Deficiency	SMP00353	SMPDB	0.00126499977188131	0.116126979058704
18	Acetaminophen  Action Pathway	SMP00710	SMPDB	0.00126499977188131	0.116126979058704
19	Sulindac Action Pathway	SMP00094	SMPDB	0.00126499977188131	0.116126979058704
20	Diclofenac Action Pathway	SMP00093	SMPDB	0.00126499977188131	0.116126979058704
21	Ketorolac Action Pathway	SMP00098	SMPDB	0.00126499977188131	0.116126979058704
22	Naproxen Action Pathway	SMP00120	SMPDB	0.00126499977188131	0.116126979058704
23	Etoricoxib Action Pathway	SMP00695	SMPDB	0.00126499977188131	0.116126979058704
24	Carprofen Action Pathway	SMP00694	SMPDB	0.00126499977188131	0.116126979058704
25	Flurbiprofen Action Pathway	SMP00697	SMPDB	0.00126499977188131	0.116126979058704
26	Fenoprofen Action Pathway	SMP00696	SMPDB	0.00126499977188131	0.116126979058704
27	Antrafenine Action Pathway	SMP00693	SMPDB	0.00126499977188131	0.116126979058704
28	Antipyrine Action Pathway	SMP00692	SMPDB	0.00126499977188131	0.116126979058704
29	Lumiracoxib Action Pathway	SMP00699	SMPDB	0.00126499977188131	0.116126979058704
30	Magnesium salicylate Action Pathway	SMP00698	SMPDB	0.00126499977188131	0.116126979058704
31	Trisalicylate-choline Action Pathway	SMP00703	SMPDB	0.00126499977188131	0.116126979058704
32	Nepafenac Action Pathway	SMP00702	SMPDB	0.00126499977188131	0.116126979058704
33	Phenylbutazone Action Pathway	SMP00701	SMPDB	0.00126499977188131	0.116126979058704
34	Lornoxicam Action Pathway	SMP00700	SMPDB	0.00126499977188131	0.116126979058704
35	Salsalate Action Pathway	SMP00707	SMPDB	0.00126499977188131	0.116126979058704
36	Tenoxicam Action Pathway	SMP00706	SMPDB	0.00126499977188131	0.116126979058704
37	Tiaprofenic Acid Action Pathway	SMP00705	SMPDB	0.00126499977188131	0.116126979058704
38	Tolmetin Action Pathway	SMP00704	SMPDB	0.00126499977188131	0.116126979058704
39	Salicylic Acid Action Pathway	SMP00709	SMPDB	0.00126499977188131	0.116126979058704
40	Salicylate-sodium Action Pathway	SMP00708	SMPDB	0.00126499977188131	0.116126979058704
41	Oxaprozin Action Pathway	SMP00113	SMPDB	0.00126499977188131	0.116126979058704
42	Valdecoxib Action Pathway	SMP00116	SMPDB	0.00126499977188131	0.116126979058704
43	Nabumetone Action Pathway	SMP00114	SMPDB	0.00126499977188131	0.116126979058704
44	Meloxicam Action Pathway	SMP00106	SMPDB	0.00126499977188131	0.116126979058704
45	Suprofen Action Pathway	SMP00101	SMPDB	0.00126499977188131	0.116126979058704
46	Bromfenac Action Pathway	SMP00102	SMPDB	0.00126499977188131	0.116126979058704
47	Mefenamic Acid Action Pathway	SMP00109	SMPDB	0.00126499977188131	0.116126979058704
48	Arachidonic Acid Metabolism	SMP00075	SMPDB	0.00126499977188131	0.116126979058704
49	Piroxicam Action Pathway	SMP00077	SMPDB	0.00126499977188131	0.116126979058704
50	Acyl chain remodelling of PE	R-HSA-1482839	Reactome	0.00126499977188131	0.116126979058704
51	Indomethacin Action Pathway	SMP00104	SMPDB	0.0013507871592243	0.121570844330187
52	Celecoxib Action Pathway	SMP00096	SMPDB	0.00182028326506724	0.160675003589589
53	Synthesis of PA	R-HSA-1483166	Reactome	0.00224401244728088	0.194339945906023
54	phospholipases	LIPASYN-PWY	HumanCyc	0.00235655544404481	0.200307212743808
55	Necroptosis	path:hsa04217	KEGG	0.00280467959719555	0.234063260929592
56	Ether lipid metabolism	path:hsa00565	KEGG	0.00308666282144536	0.252996113400611
57	Ovarian steroidogenesis	path:hsa04913	KEGG	0.00335071646540289	0.269820852214022
58	Golgi Associated Vesicle Biogenesis	R-HSA-432722	Reactome	0.00435498108304379	0.344644192606396
59	VEGF signaling pathway	path:hsa04370	KEGG	0.00482299623323687	0.375212757806055
60	Long-term depression	path:hsa04730	KEGG	0.00498395419143091	0.381272495644464
61	Arachidonic acid metabolism	path:hsa00590	KEGG	0.00548156833657733	0.412465551883442
62	Fc epsilon RI signaling pathway	path:hsa04664	KEGG	0.00617913399690744	0.457455242674277
63	Lysosomal oligosaccharide catabolism	R-HSA-8853383	Reactome	0.00706222775247978	0.509569747629669
64	Linoleate metabolism	Linoleate metabolism	EHMN	0.00710511194952043	0.509569747629669
65	Leukotriene receptors	R-HSA-391906	Reactome	0.00882031618679047	0.622850019959511
66	Demo complete	WP3418	Wikipathways	0.0105754268748882	0.735472869026317
67	GnRH signaling pathway	path:hsa04912	KEGG	0.0116273394183454	0.79655952134635
68	CS/DS degradation	R-HSA-2024101	Reactome	0.0123275646314239	0.812574814285154
69	dermatan sulfate degradation (metazoa)	PWY-6576	HumanCyc	0.0123275646314239	0.812574814285154
70	Glycerophospholipid metabolism	path:hsa00564	KEGG	0.0126006636154577	0.812574814285154
71	Inflammatory mediator regulation of TRP channels	path:hsa04750	KEGG	0.0131003346965362	0.812574814285154
72	Choline metabolism in cancer	path:hsa05231	KEGG	0.0131003346965362	0.812574814285154
73	Progesterone-mediated oocyte maturation	path:hsa04914	KEGG	0.0131003346965362	0.812574814285154
74	Arachidonic acid metabolism	Arachidonic acid metabolism	EHMN	0.0131003346965362	0.812574814285154
75	Leukotriene modifiers pathway, Pharmacodynamics	PA165947317	PharmGKB	0.0140767342636305	0.861496136934189
76	Sperm Motility And Taxes	R-HSA-1300642	Reactome	0.0158229405713418	0.95562233187446
77	Serotonergic synapse	path:hsa04726	KEGG	0.0168351365127719	1
78	Glutamatergic synapse	path:hsa04724	KEGG	0.0171174635212475	1
79	Vascular smooth muscle contraction	path:hsa04270	KEGG	0.019150292560731	1
80	Platelet activation	path:hsa04611	KEGG	0.0197490535708127	1
81	Lysosome	path:hsa04142	KEGG	0.0197490535708127	1
82	Oocyte meiosis	path:hsa04114	KEGG	0.0203556863732121	1
83	Iron metabolism in placenta	WP2007	Wikipathways	0.0210438274349833	1
84	Glycerophospholipid biosynthesis	R-HSA-1483206	Reactome	0.0228597795253509	1
85	Glycerophospholipid metabolism	Glycerophospholipid metabolism	EHMN	0.0238302968583087	1
86	Sorafenib Metabolism Pathway	SMP00648	SMPDB	0.0262382164636048	1
87	Eicosanoid ligand-binding receptors	R-HSA-391903	Reactome	0.0262382164636048	1
88	Phospholipase D signaling pathway	path:hsa04072	KEGG	0.0268423389858381	1
89	Morphine Metabolism Pathway	SMP00622	SMPDB	0.0279638132754807	1
90	Oxytocin signaling pathway	path:hsa04921	KEGG	0.0292867857889468	1
91	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	R-HSA-2559584	Reactome	0.0296864848962745	1
92	Other glycan degradation	path:hsa00511	KEGG	0.0314062360596703	1
93	er associated degradation (erad) pathway	eradpathway	BioCarta	0.0314062360596703	1
94	Glycosaminoglycan degradation	path:hsa00531	KEGG	0.033123071492055	1
95	Etoposide Action Pathway	SMP00442	SMPDB	0.033123071492055	1
96	Etoposide Metabolism Pathway	SMP00601	SMPDB	0.033123071492055	1
97	Scavenging by Class A Receptors	R-HSA-3000480	Reactome	0.033123071492055	1
98	Regulation of TP53 Activity through Methylation	R-HSA-6804760	Reactome	0.0348369959125316	1
99	HS-GAG degradation	R-HSA-2024096	Reactome	0.0365480140329276	1
100	Ibuprofen Metabolism Pathway	SMP00590	SMPDB	0.0399613501844762	1
101	Irinotecan Action Pathway	SMP00433	SMPDB	0.0399613501844762	1
102	Irinotecan Metabolism Pathway	SMP00600	SMPDB	0.0399613501844762	1
103	Eicosanoid Synthesis	WP167	Wikipathways	0.0399613501844762	1
104	eicosanoid metabolism	eicosanoidpathway	BioCarta	0.0399613501844762	1
105	Ras Signaling	WP4223	Wikipathways	0.0415278996993648	1
106	Mitotic Prometaphase	R-HSA-68877	Reactome	0.0423480445354751	1
107	Fertilization	R-HSA-1187000	Reactome	0.045059674539765	1
108	DNA Damage/Telomere Stress Induced Senescence	R-HSA-2559586	Reactome	0.0484441587441671	1
109	Acetaminophen Metabolism Pathway	SMP00640	SMPDB	0.0518171674770898	1
110	Statin Pathway	WP430	Wikipathways	0.0534993801543516	1
111	Phospholipid metabolism	R-HSA-1483257	Reactome	0.0553637315232437	1
112	Polythiazide Action Pathway	SMP00080	SMPDB	0.0568552452930167	1
113	Methyclothiazide Action Pathway	SMP00081	SMPDB	0.0568552452930167	1
114	Bumetanide Action Pathway	SMP00088	SMPDB	0.0568552452930167	1
115	Spironolactone Action Pathway	SMP00134	SMPDB	0.0568552452930167	1
116	Eplerenone Action Pathway	SMP00135	SMPDB	0.0568552452930167	1
117	Triamterene Action Pathway	SMP00132	SMPDB	0.0568552452930167	1
118	Amiloride Action Pathway	SMP00133	SMPDB	0.0568552452930167	1
119	Ethacrynic Acid Action Pathway	SMP00097	SMPDB	0.0568552452930167	1
120	Quinethazone Action Pathway	SMP00091	SMPDB	0.0568552452930167	1
121	Bendroflumethiazide Action Pathway	SMP00090	SMPDB	0.0568552452930167	1
122	Chlorthalidone Action Pathway	SMP00122	SMPDB	0.0568552452930167	1
123	Trichlormethiazide Action Pathway	SMP00121	SMPDB	0.0568552452930167	1
124	Iminoglycinuria	SMP00193	SMPDB	0.0568552452930167	1
125	Lysinuric Protein Intolerance	SMP00197	SMPDB	0.0568552452930167	1
126	Blue diaper syndrome	SMP00583	SMPDB	0.0568552452930167	1
127	Lysinuric protein intolerance (LPI)	SMP00585	SMPDB	0.0568552452930167	1
128	Cystinuria	SMP00723	SMPDB	0.0568552452930167	1
129	Indapamide Action Pathway	SMP00110	SMPDB	0.0568552452930167	1
130	Furosemide Action Pathway	SMP00115	SMPDB	0.0568552452930167	1
131	Torsemide Action Pathway	SMP00118	SMPDB	0.0568552452930167	1
132	Hartnup Disorder	SMP00189	SMPDB	0.0568552452930167	1
133	Glucose Transporter Defect (SGLT2)	SMP00184	SMPDB	0.0568552452930167	1
134	Kidney Function	SMP00483	SMPDB	0.0568552452930167	1
135	Glucose Transporter Defect (SGLT2)	SMP00245	SMPDB	0.0568552452930167	1
136	Metolazone Action Pathway	SMP00105	SMPDB	0.0568552452930167	1
137	Hydrochlorothiazide Action Pathway	SMP00100	SMPDB	0.0568552452930167	1
138	Cyclothiazide Action Pathway	SMP00103	SMPDB	0.0568552452930167	1
